Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
APP;HS046797;0.6985;135095;274;0;33424;84;413;351;0045177, 0030424, 0009986, 0035253, 0005905, 0005829, 0043198, 0043197, 0005576, 0005794, 0005887, 0031594, 0048471, 0031093, 0051233, 0045202, 0003677, 0008201, 0016504, 0004867, 0046914, 0008344, 0008088, 0016199, 0007155, 0006878, 0008203, 0048669, 0016358, 0006897, 0030198, 0030900, 0045087, 0035235, 0007617, 0000085, 0006378, 0045665, 0050885, 0051402, 0016322, 0007219, 0035872, 0030168, 0002576, 0010971, 0045931, 0045944, 0006468, 0007176, 0040014, 0043393, 0050803, 0006417, 0006979, 0051563, 0001967, 0051124, 0008542;05010, 04726;;;;21q21.3;21
PSEN1;HS050784;0.2877;15259;114;0;4087;27;413;5663;0016324, 0030424, 0005938, 0009986, 0005813, 0035253, 0031410, 0043198, 0005789, 0070765, 0005794, 0000139, 0030426, 0005887, 0000776, 0005765, 0045121, 0005743, 0031594, 0043025, 0005640, 0048471, 0005791, 0005790, 0030018, 0004190, 0045296, 0005262, 0004175, 0000186, 0042987, 0042640, 0000045, 0034205, 0050435, 0001568, 0048854, 0021870, 0001708, 0016337, 0021795, 0015871, 0021904, 0030326, 0050673, 0001947, 0002244, 0035556, 0015813, 0006509, 0007613, 0006839, 0002573, 0043066, 0050771, 0007175, 0043524, 2000059, 0000122, 0051444, 0051402, 0048666, 0001764, 0007220, 0007219, 0043065, 0043085, 0050820, 0043406, 0032436, 0001921, 0009791, 0006486, 0016485, 0015031, 0042325, 0043393, 0060075, 0048167, 0051966, 0006974, 0006979, 0048705, 0043589, 0051563, 0001756, 0016080, 0002286, 0050852, 0048538;04722, 04330, 05010, 04310;;;;14q24.3;14
MAPT;HS047872;0.1595;29825;121;0;5711;18;413;4137;0030424, 0035085, 0005829, 0030426, 0005874, 0005875, 0034399, 0005886, 0045298, 0071813, 0008017, 0005200, 0007628, 0008088, 0048675, 0006921, 0000226, 0047497, 0032387, 0001764, 0045773, 0031116, 0010506, 0060632;05010, 04010;;;;17q21.1;17
APOE;HS046744;0.0996;70809;91;0;18643;17;413;348;0042627, 0030425, 0005769, 0071682, 0031232, 0005794, 0034364, 0034363, 0005770, 0034362, 0043025, 0005886, 0034361, 0016209, 0001540, 0017127, 0008201, 0046848, 0005319, 0071813, 0050750, 0046911, 0060228, 0005543, 0042803, 0070326, 0007568, 0048844, 0008219, 0006874, 0071397, 0071363, 0071347, 0019934, 0006707, 0033344, 0042632, 0008203, 0034382, 0007010, 0007186, 0034380, 0034384, 0034375, 0046907, 0042158, 0042159, 0042157, 0034374, 0051651, 0043537, 0045541, 0001937, 0050728, 0043407, 0043524, 0010544, 0007263, 0048709, 0014012, 0033700, 0007603, 0045773, 0030828, 0010875, 0010873, 0032805, 0051044, 0051000, 0006898, 0030516, 0032489, 0010468, 0048168, 0002021, 0045471, 0032868, 0000302, 0032526, 0001523, 0043691, 0007271, 0006641, 0042311, 0034447, 0034372;05010;;;;19q13.2;19
PSEN2;HS050785;0.0974;3292;17;0;1271;9;413;5664;0016324, 0030424, 0005938, 0009986, 0005813, 0035253, 0005829, 0043198, 0005783, 0005789, 0005794, 0000139, 0030426, 0005887, 0000776, 0005765, 0045121, 0005743, 0031594, 0043025, 0005637, 0048471, 0030018, 0004190, 0004175, 0042987, 0042640, 0097190, 0050435, 0048854, 0006816, 0060048, 0001708, 0021904, 0030326, 0032469, 0030900, 0002244, 0035556, 0040011, 0048286, 0006509, 0031293, 0007613, 0002573, 0043066, 0001933, 0048011, 0007220, 0007219, 0043065, 0043085, 0050820, 0016485, 0015031, 0007176, 0043393, 0048167, 0001666, 0001756, 0002286, 0050852, 0048538;04722, 05010, 04330;;;;1q31-q42;1
SLC1A2;HS052459;0.0907;6312;59;0;1733;9;413;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
NGF;HS048426;0.0708;95576;35;0;31757;16;413;4803;0005768, 0005576, 0005615, 0005796, 0005057, 0000186, 0007202, 0008344, 0008625, 0006954, 0007613, 0043066, 0045786, 0043524, 0032455, 0031175, 0048011, 0007422, 0048015, 0043065, 0045773, 0050772, 0010628, 0045666, 0051388, 0031954, 0051091, 2000648, 0007265, 0043281, 0046928, 0042493, 0051602, 0051384, 0032496, 0009612, 0035094, 0010193, 0043434, 0009314, 0019233;04010, 04014, 04210, 04722, 04151, 04015;;;;1p13.1;1
BDNF;HS051865;0.0685;87549;68;0;18189;13;413;627;0005576, 0048471, 0008021, 0008083, 0007411, 0007412, 0001662, 0002544, 0016358, 0007631, 0014047, 0048839, 0007611, 0042490, 0006120, 0007406, 0043524, 0045843, 0021675, 0007399, 0008038, 0048170, 0045666, 0051965, 0060079, 0019222, 0046668, 0048172, 0072347, 0014076, 0009725, 0055093, 0001666, 0033189, 0001657;05030, 05016, 05034, 04722, 04010;;;;11p13;11
SCN1A;HS051911;0.0653;2847;11;0;829;6;413;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
BACE1;HS044167;0.0484;10015;33;0;2644;6;413;23621;0030424, 0009986, 0030659, 0005783, 0005768, 0005794, 0005887, 0005802, 0004190, 0008798, 0050435, 0006509;05010;;;;11q23.2-q23.3;11
