Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
HTR1A;HS046400;0.2070;22099;21;0;8228;7;121;3350;0005887, 0004993, 0007198, 0001662, 0008283, 0035640, 0008284, 0050795, 0042053, 0046883, 0014062, 0042428, 0042310;04080, 04726;;;;5q11.2-q13;5
ABAT;HS042739;0.1999;3739;9;0;1670;5;121;18;0032144, 0005759, 0043005, 0047298, 0003867, 0030170, 0032145, 0048148, 0007620, 0009450, 0007626, 0045776, 0042135, 0007269, 0042493, 0045471, 0001666, 0010039, 0035094;00650, 00250, 04727, 00280, 00640, 00410, 01100;;;;16p13.2;16
SCN1A;HS051911;0.1246;2847;13;0;829;3;121;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
SLC1A2;HS052459;0.1063;6312;11;0;1733;3;121;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
SLC6A4;HS052523;0.1058;28989;8;0;6871;4;121;6532;0005829, 0012505, 0010008, 0005887, 0045121, 0043005, 0051015, 0019811, 0005335, 0048854, 0071321, 0071300, 0007623, 0007613, 0021941, 0045665, 0046621, 0032227, 0045787, 0010628, 0051260, 0051259, 0042493, 0032355, 0001666, 0007584, 0009636, 0051610, 0035176, 0042713, 0021794, 0042310;04726;;;;17q11.2;17
No mapping: HS044621;HS044621;0.0880;1;1;0;1;1;121;;;;;;;null;null
GRM4;HS038284;0.0877;1134;2;0;418;2;121;2914;0031410, 0043198, 0005887, 0048787, 0043195, 0004930, 0008066, 0000187, 0007196, 0007612, 0007269, 0043523;04724, 04742, 04080;;;;6p21.3;6
PRL;HS050699;0.0826;168797;9;0;47786;6;121;5617;0005576, 0030141, 0005148, 0008283, 0007623, 0007565, 0060397, 0007595, 0033555, 0042698, 0007567, 0050679, 0046427, 0040014, 0030278, 0042493, 0032355, 0045471, 0032496, 0007584, 0007262;04060, 04917, 04080, 04630, 04151;;;;6p22.3;6
GRM3;HS038283;0.0793;1411;2;0;694;2;121;2913;0030424, 0043197, 0005887, 0014069, 0045211, 0042734, 0005246, 0004930, 0008066, 0001641, 0007194, 0050804, 0007268;04080, 04724, 05030;;;;7q21.1-q21.2;7
GABRA1;HS044417;0.0783;1273;2;0;737;2;121;2554;0030054, 0034707, 0005887, 0045211, 0005254, 0008144, 0005230, 0004890, 0007214, 0034220, 0051932;04080, 04727, 05032, 04723, 05033;;;;5q34;5
SLC1A3;HS052462;0.0692;3908;6;0;1277;2;121;6507;0042995, 0009986, 0043205, 0016021, 0043025, 0005886, 0016595, 0005314, 0005313, 0017153, 0031223, 0048667, 0021545, 0070779, 0009449, 0006537, 0051938, 0050885, 0001504, 0050806, 0046677, 0042493, 0009416, 0009611, 0007605;04724;;;;5p13;5
No mapping: HS050102;HS050102;0.0690;27;1;0;10;1;121;;;;;;;null;null
GRM2;HS038282;0.0689;3608;4;0;1301;2;121;2912;0030424, 0030054, 0030425, 0005887, 0005622, 0042734, 0005246, 0004930, 0008066, 0001641, 0014047, 0007194, 0007268;04724, 04080, 05030;;;;3p21.2;3
HTR2A;HS046405;0.0648;24672;5;0;9244;3;121;3356;0030424, 0005901, 0016023, 0005829, 0043198, 0005887, 0071886, 0008144, 0051378, 0004993, 0007202, 0007568, 0008219, 0007613, 0043267, 0051967, 0014065, 0007208, 0008284, 0070374, 0043406, 0010513, 0045907, 0050795, 0014059, 0046883, 0051209, 0042493, 0006950, 0019233, 0030431, 0006939, 0007268, 0001659;04020, 04080, 04540, 04726;;;;13q14-q21;13
No mapping: HS043541;HS043541;0.0646;52;7;0;17;1;121;;;;;;;null;null
