Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
TNFRSF1B;HS053080;0.1999;24272;17;0;8804;6;105;7133;0005576, 0016021, 0045121, 0043025, 0005634, 0048471, 0005886, 0043196, 0005031, 0071363, 0071222, 0006955, 0006954, 0050728, 0051044, 0050779;05014, 04920, 04060, 04668;;;;1p36.22;1
ACR;HS048497;0.1078;8358;4;0;3347;3;105;49;0043159, 0005576, 0005798, 0043234, 0004040, 0005507, 0003677, 0008144, 0042806, 0005537, 0004252, 0008270, 0002077, 0007190, 0007339, 0032504, 0009607, 0048545;;;;;22q13.33;22
PAK1;HS048648;0.0972;3185;8;0;590;2;105;5058;0030424, 0005829, 0030425, 0005925, 0005794, 0030426, 0014704, 0031965, 0005886, 0043234, 0001726, 0030018, 0005524, 0004674, 0031532, 0006915, 0007411, 0048754, 0032869, 0033554, 0016358, 0006887, 0038095, 0038096, 0045087, 0060244, 0007528, 0033148, 0043507, 0033138, 0051496, 0046777, 0043113, 0001666, 0031295, 0050852, 0042060;04010, 04062, 04014, 04510, 04360, 05205, 05120, 04810, 05211, 04666, 04012, 04660, 04650;;;;11q13-q14;11
CRP;HS041617;0.0942;175686;18;0;56012;6;105;1401;0005576, 0005615, 0030175, 0030426, 0005739, 0005886, 0015485, 0033265, 0030169, 0046872, 0006953, 0007568, 0071277, 0071333, 0006958, 0050830, 0010888, 0010745, 0008228, 1900006, 0051258, 0045471, 0001666, 0010288, 0042060;;;;;1q23.2;1
TNF;HS053072;0.0921;558309;28;0;184493;10;105;7124;0009897, 0005615, 0005887, 0045121, 0001891, 0055037, 0005125, 0042802, 0044212, 0005164, 0006919, 0000187, 0000185, 0060555, 0019722, 0001775, 0071230, 0071316, 0002439, 0050830, 0048566, 0060664, 0030198, 0008625, 0006006, 0006959, 0007254, 0050901, 0031663, 0000165, 0070265, 0010693, 0061048, 0008285, 0002740, 2001240, 0045599, 0046325, 0044130, 0032715, 0002037, 0050995, 0010888, 0045668, 0043242, 0000122, 0045071, 0009887, 0030316, 0043065, 0060559, 2000343, 0045080, 0002876, 0050715, 0070374, 0031622, 0051798, 0034116, 0002925, 0043123, 0032729, 0032755, 0045416, 0046330, 0043507, 0051044, 0045840, 0071677, 0043525, 0042346, 0051092, 0051533, 0045429, 0045672, 0033138, 0071803, 0043243, 0051897, 2000010, 0048661, 0050806, 0045944, 0045994, 0060557, 0000060, 0043491, 0032800, 0060693, 0051023, 0050796, 0014823, 0042493, 0051384, 0001666, 0009612, 0009651, 0009615, 0030730, 0003009, 0006927, 0033209;04621, 05152, 05143, 05010, 05142, 05161, 04640, 05133, 04380, 05134, 05160, 05164, 05332, 05323, 05166, 05410, 04932, 05146, 05330, 05322, 05140, 05205, 04650, 05321, 04612, 05310, 05414, 04930, 05144, 04664, 05168, 04010, 04060, 04064, 04150, 04210, 04622, 04668, 04620, 05145, 04940, 04350, 05014, 04660, 04920;;;;6p21.3;6
No mapping: HS051569;HS051569;0.0896;10;1;0;4;1;105;;;;;;;null;null
AURKA;HS052810;0.0811;3974;6;0;1377;2;105;6790;0005829, 0030496, 0005634, 0048471, 0005876, 0031616, 0005524, 0004674, 0004712, 0031145, 0051301, 0030030, 0007067, 0032091, 0048015, 0045840, 0046777, 0046605, 0031647, 0007051, 0043146;04114;;;;20q13;20
ADAMTS13;HS040288;0.0781;6639;4;0;1609;2;105;11093;0009986, 0005615, 0005578, 0005509, 0005178, 0004222, 0008237, 0008270, 0007160, 0009100, 0007229, 0043171, 0030168, 0016485, 0006508;;;;;9q34;9
CDSN;HS039755;0.0771;4573;9;0;1691;2;105;1041;0001533, 0030057, 0005576, 0042803, 0016337, 0030216, 0043589;;;;;6p21.3;6
HLA-DRB4;HS092205;0.0735;4941;3;0;2051;2;105;3126;0030669, 0012507, 0009897, 0000139, 0071556, 0005887, 0031902, 0005765, 0042613, 0032588, 0032395, 0042605, 0019886, 0016045, 0002455, 0002381, 0002437, 0060333, 0002862, 0032689, 0042130, 0035774, 0051262, 2001179, 0032673, 0031295, 0050852, 0042088, 0005886;04514, 05332, 05321, 05152, 05310, 05416, 04612, 05145, 05169, 04672, 05320, 05323, 05166, 04940, 04145, 04640, 05330, 05168, 05150, 05164, 05140, 05322;;;;6p21.3;6
PTGS2;HS051132;0.0705;115063;10;0;30492;4;105;5743;0005789, 0043005, 0005634, 0043234, 0050473, 0020037, 0008289, 0046872, 0004601, 0004666, 0042640, 0001525, 0030282, 0050873, 0006928, 0071318, 0071456, 0071260, 0034644, 0019371, 0046697, 0007566, 0006954, 0007612, 0019372, 0035633, 0007613, 0051926, 0045786, 0008285, 0045986, 0032227, 0030728, 0043065, 0090336, 0090050, 0031622, 0090271, 0042346, 0045429, 0090362, 0031394, 0048661, 0045987, 0031915, 0051968, 0071636, 0045907, 0010575, 0008217, 0042493, 0032355, 0070542, 0009750, 0051384, 0032496, 0010226, 0010042, 0006979, 0034612, 0033280, 0019233;00590, 05204, 05206, 04913, 04726, 05200, 04668, 05222, 05140, 01100, 04723, 04370, 04064;;;;1q25.2-q25.3;1
APOH;HS046790;0.0701;5949;5;0;2444;2;105;350;0009986, 0042627, 0034364, 0034361, 0008201, 0060230, 0005543, 0007597, 0016525, 0030195, 0010596, 0001937, 0051918, 0033033, 0034392, 0031639, 0051006, 0006641, 0034197;;;;;17q24.2;17
MESDC2;HS043822;0.0686;133;8;0;36;1;105;23184;0005783, 0005886, 0007498, 0006457, 0034394, 0016055;;;;;15q13;15
No mapping: HS039451;HS039451;0.0684;195;1;0;37;1;105;;;;;;;null;null
OLAH;HS050187;0.0684;47;1;0;37;1;105;55301;0016295, 0004320, 0016296, 0006633;00061, 01100, 01212;;;;10p13;10
TPST1;HS055092;0.0674;116;2;0;41;1;105;8460;0000139, 0016021, 0016020, 0008476, 0006954, 0006478;;;;;7q11.21;7
SLC36A1;HS043135;0.0632;298;3;0;64;1;105;206358;0005783, 0016021, 0005765, 0005886, 0015187, 0015078, 0015180, 0015193, 0015293, 0006865, 0055085;04974;;;;5q33.1;5
No mapping: HS038582;HS038582;0.0614;212;8;0;77;1;105;;;;;;;null;null
CLEC4E;HS044853;0.0590;413;2;0;99;1;105;26253;0016021, 0030246, 0004872, 0006955, 0050715;05152;;;;12p13.31;12
G0S2;HS048629;0.0587;486;1;0;102;1;105;50486;0005811, 0005739, 0044255, 0097191, 2001238, 0044281;;;;;1q32.2;1
ANKH;HS050701;0.0580;440;3;0;110;1;105;56172;0005887, 0019867, 0030504, 0005315, 0015114, 0007626, 0030500, 0001501;;;;;5p15.1;5
MMACHC;HS044683;0.0566;584;6;0;127;1;105;25974;0005829, 0005739, 0031419, 0009236;04977;;;;1p34.1;1
MAPT;HS047872;0.0540;29825;5;0;5711;2;105;4137;0030424, 0035085, 0005829, 0030426, 0005874, 0005875, 0034399, 0005886, 0045298, 0071813, 0008017, 0005200, 0007628, 0008088, 0048675, 0006921, 0000226, 0047497, 0032387, 0001764, 0045773, 0031116, 0010506, 0060632;05010, 04010;;;;17q21.1;17
METAP2;HS040203;0.0539;625;3;0;169;1;105;10988;0005829, 0004177, 0046872, 0008235, 0031365, 0018206, 0016485, 0006508, 0022400, 0016056;;;;;12q22;12
NUDT11;HS050083;0.0515;699;4;0;217;1;105;55190;0005829, 0008486, 0052840, 0052846, 0052847, 0052843, 0052848, 0052844, 0052845, 0046872, 0043647;;;;;Xp11.22;X
SERPINI1;HS049348;0.0509;926;1;0;232;1;105;5274;0005615, 0004867, 0007417, 0007422, 0030155, 0030162;;;;;3q26.1;3
NAGLU;HS048308;0.0503;833;2;0;246;1;105;4669;0043202, 0004561, 0005975, 0021680, 0006027, 0060119, 0045475, 0007040, 0042474, 0007399, 0046548, 0044281;00531, 04142, 01100;;;;17q21;17
ASAH1;HS047987;0.0503;793;3;0;248;1;105;427;0043202, 0017040, 0008219, 0006672, 0006687, 0030324, 0010033, 0044281;04142, 01100, 00600;;;;8p22;8
