Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
GNRH1;HS045300;0.1825;114695;8;0;34727;5;66;2796;0005576, 0005615, 0005183, 0007267, 0007565, 0007275, 0043066, 0008285, 0042698, 0010468, 2000354, 0031960, 0045471, 0007165;04080, 04912;;;;8p21-p11.2;8
SCN2A;HS051913;0.1696;1315;11;0;573;2;66;6326;0005887, 0014704, 0033268, 0033270, 0030315, 0001518, 0005248, 0006915, 0042552;;;;;2q24.3;2
PAK1;HS048648;0.1687;3185;8;0;590;2;66;5058;0030424, 0005829, 0030425, 0005925, 0005794, 0030426, 0014704, 0031965, 0005886, 0043234, 0001726, 0030018, 0005524, 0004674, 0031532, 0006915, 0007411, 0048754, 0032869, 0033554, 0016358, 0006887, 0038095, 0038096, 0045087, 0060244, 0007528, 0033148, 0043507, 0033138, 0051496, 0046777, 0043113, 0001666, 0031295, 0050852, 0042060;04010, 04062, 04014, 04510, 04360, 05205, 05120, 04810, 05211, 04666, 04012, 04660, 04650;;;;11q13-q14;11
ICAM3;HS046458;0.1587;1908;2;0;820;2;66;3385;0005887, 0005178, 0016337, 0050776;04514;;;;19p13.3-p13.2;19
P2RY12;HS052373;0.1452;2700;2;0;1280;2;66;64805;0009925, 0005901, 0009897, 0016021, 0005886, 0001621, 0001609, 0005085, 0007188, 0070588, 0030030, 0035589, 0045596, 0010700, 0030168, 0070527, 0043270, 0071805, 0043491, 0051924;;;;;3q24-q25;3
AVP;HS050003;0.1309;119445;15;0;35618;4;66;551;0005829, 0030425, 0005576, 0005615, 0030141, 0043027, 0005184, 0004672, 0004871, 0007267, 0007204, 0070371, 0006091, 0007625, 0042538, 0007626, 0002125, 0042711, 0050891, 0043066, 0007621, 0090201, 0051970, 0043084, 0030819, 0030307, 0008284, 0032849, 0010628, 0014049, 0033138, 0031394, 0003084, 0045907, 0070528, 0035813, 0045471, 0035094, 0035176, 0043252, 0055085, 0042310, 0006833;04962, 04080, 04270;;;;20p13;20
GNRHR;HS045302;0.1298;7334;4;0;2133;2;66;2798;0005887, 0004968, 0007275;04912, 04080;;;;4q21.2;4
CASR;HS055091;0.1290;8484;8;0;2186;2;66;846;0005887, 0004930, 0004435, 0009653, 0070509, 0006874, 0007635, 0005513, 0001503;;;;;3q13;3
KCNN1;HS047147;0.1267;41;1;0;18;1;66;3780;0008076, 0015269, 0016286, 0007268;04911;;;;19p13.1;19
BAIAP3;HS055749;0.1175;81;1;0;33;1;66;8938;0008022, 0007186, 0007269;05202;;;;16p13.3;16
ADORA1;HS041420;0.1168;6723;2;0;3272;2;66;134;0032279, 0030673, 0016323, 0030425, 0012505, 0005783, 0005887, 0043025, 0014069, 0045211, 0048786, 0042734, 0043195, 0001609, 0004629, 0001883, 0000186, 0007193, 0097190, 0007267, 0050890, 0050965, 0006954, 0016042, 0002674, 0043066, 0045776, 0055118, 0008285, 0042323, 0014050, 0045822, 0046888, 0002686, 0050995, 0070256, 0032900, 0035814, 0032229, 0051967, 0045908, 0007399, 0006909, 0045777, 0045741, 0032244, 0002793, 0043268, 0035307, 0006612, 0060079, 0003093, 0002087, 0048167, 0060087, 0001666, 0001659;05032, 04080;;;;1q32.1;1
KCNN2;HS047148;0.1087;131;1;0;59;1;66;3781;0016021, 0005886, 0016286, 1901379, 0007268;04976, 04911, 04726;;;;5q22.3;5
PDIA2;HS052319;0.1080;224;1;0;62;1;66;64714;0005783, 0005788, 0003756, 0015035, 0005496, 0045454, 0071456, 0097194, 0006662, 0006621, 0034976;;;;;16p13.3;16
LHB;HS047618;0.1078;132929;4;0;52111;4;66;3972;0005576, 0005102, 0007267, 0044267, 0008584, 0016486, 0006701, 0007165;04080, 04913, 04917, 04912;;;;19q13.32;19
No mapping: HS053338;HS053338;0.1075;149;1;0;64;1;66;;;;;;;null;null
GPR35;HS045650;0.1073;278;1;0;65;1;66;2859;0005887, 0004930;04080;;;;2q37.3;2
NPSR1;HS047262;0.0926;731;4;0;171;1;66;387129;0005737, 0016021, 0005886, 0008188, 0005000, 0007218;;;;;7p14.3;7
LDB3;HS040342;0.0913;426;7;0;187;1;66;11155;0005856, 0048471, 0031143, 0030018, 0008270, 0045214;;;;;10q22.3-q23.2;10
PROKR2;HS041238;0.0911;539;4;0;189;1;66;128674;0016021, 0005886, 0004983, 0007623;;;;;20p12.3;20
CPQ;HS039751;0.0907;586;3;0;194;1;66;10404;0005783, 0005615, 0005794, 0005764, 0004180, 0046872, 0070573, 0042803, 0043171, 0006508, 0006590, 0042246;;;;;8q22.2;8
REXO1L1;HS044392;0.0892;366;1;0;214;1;66;254958;0005737, 0005634, 0004527, 0003676, 0090305;03008;;;;8q21.2;8
TCHH;HS053017;0.0881;615;1;0;231;1;66;7062;0005813, 0005737, 0045111, 0005886, 0005509, 0031424;;;;;1q21.3;1
RHO;HS051660;0.0824;26541;2;0;10170;2;66;6010;0005794, 0005887, 0097381, 0060342, 0042622, 0030867, 0004930, 0046872, 0009881, 0016918, 0006468, 0018298, 0009585, 0022400, 0060041, 0001523, 0016056, 0007601;04744;;;;3q21-q24;3
TRNAC1;HS027565;0.0812;692;1;0;364;1;66;7183;;;;;;17q12;17
KCNN3;HS047150;0.0806;1424;3;0;378;1;66;3782;0005737, 0016021, 0005886, 0016286, 0007268;04911;;;;1q21.3;1
FSHB;HS044291;0.0799;91518;4;0;39971;3;66;2488;0005737, 0005576, 0016913, 0046982, 0044267, 0007292, 0007565, 0042699, 0001541, 0016486, 0045780, 0030335, 0008284, 0045944, 0006701, 0045670, 0060011, 0007283, 0007179;04912, 04080, 04913;;;;11p13;11
ITK;HS046992;0.0779;1676;1;0;451;1;66;3702;0005829, 0005524, 0046872, 0004715, 0005543, 0007202, 0002250, 0006968, 0001816, 0038095, 0045087, 0032609, 0032633, 0035556, 0001865, 0042110, 0050852;04062, 04670, 04660;;;;5q31-q32;5
KCNN4;HS047151;0.0774;1864;3;0;466;1;66;3783;0008076, 0015269, 0016286, 0006816, 0006884, 0006952, 0045332, 0050714, 0050862, 0046541, 0030322, 0007268;04970, 04974, 04911;;;;19q13.2;19
TSHB;HS053156;0.0769;124034;3;0;42624;3;66;7252;0005576, 0005179, 0009653, 0007267, 0044267, 0007186, 0016486, 0051592, 0043627, 0033189;04918, 04080, 05320;;;;1p13;1
BMP1;HS092246;0.0751;1835;6;0;544;1;66;649;0005576, 0005615, 0005794, 0005578, 0005509, 0004222, 0008270, 0001502, 0030154, 0030198, 0042157, 0001503, 0061036, 0006508, 0044281;;;;;8p21.3;8
KIAA0226;HS056734;0.0748;671;1;0;553;1;66;9711;0005769, 0005770, 0005764, 0006914, 0006897, 0010507, 0045806;;;;;3q29;3
PANX1;HS044241;0.0737;2348;10;0;596;1;66;24145;0032059, 0005783, 0005789, 0005921, 0016021, 0005886, 0043234, 0005262, 0055077, 0022840, 0045087, 0035872, 0050717, 0050718, 0034214, 0033198, 0002931, 0007268;;;;;11q21;11
ZBP1;HS054372;0.0725;1452;1;0;645;1;66;81030;0005829, 0005634, 0003726, 0003692, 0003723, 0045087, 0032481, 0060340;04623;;;;20q13.31;20
PROK2;HS051725;0.0723;1924;3;0;652;1;66;60675;0005576, 0001664, 0000187, 0001525, 0008283, 0006935, 0007623, 0007204, 0007186, 0006954, 0043066, 0007218, 0045987, 0019233, 0007283;;;;;3p13;3
TNKS2;HS054282;0.0712;827;1;0;701;1;66;80351;0000139, 0000784, 0005635, 0000242, 0048471, 0046872, 0003950, 0035264, 0090263, 0032212, 0070213, 0070198, 0000209, 0040014, 0016055;;;;;10q23.3;10
FOXG1;HS038097;0.0693;2421;1;0;799;1;66;2290;0005634, 0003677, 0043565, 0003700, 0007568, 0016199, 0007420, 0021954, 0009953, 0030900, 0042472, 0045665, 0045892, 0045787, 0002052, 0007346, 0006351;;;;;14q13;14
SCN1A;HS051911;0.0687;2847;8;0;829;1;66;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
LHCGR;HS047619;0.0684;1782;1;0;848;1;66;3973;0005768, 0005887, 0038106, 0035472, 0004964, 0007190, 0071371, 0046544, 0007187, 0042700, 0030539, 0008584, 0001541, 0007200, 0043950, 0032962, 0090030, 0072520, 0007283, 0060065;04020, 04080, 04913, 04917;;;;2p21;2
IL16;HS046909;0.0678;3775;1;0;882;1;66;3603;0005737, 0005615, 0005634, 0005886, 0006955, 0050930, 0030595, 0019048, 0006355, 0006351;;;;;15q26.3;15
MAX;HS047901;0.0667;1708;3;0;948;1;66;4149;0005737, 0030425, 0071339, 0016605, 0043565, 0003700, 0003713, 0071375, 0009267, 0010629, 0051402, 0006461, 0048678, 0032868, 0060041, 0006366;05202, 04010, 05200, 05222;;;;14q23;14
NR0B1;HS038041;0.0660;4253;2;0;988;1;66;190;0005737, 0016020, 0005654, 0005634, 0042788, 0032448, 0004879, 0003723, 0043565, 0003707, 0003714, 0030325, 0021854, 0033327, 0008584, 0030238, 0045596, 0033144, 0043433, 0000122, 0045892, 0021983, 0008104, 0006950, 0060008, 0007283, 0006694, 0006367;;;;;Xp21.3;X
PDE4A;HS049051;0.0631;3028;1;0;1198;1;66;5141;0005829, 0016020, 0048471, 0032587, 0004115, 0030552, 0046872, 0006198, 0035690, 0043949, 0010738, 0007608, 0007165;00230, 05032;;;;19p13.2;19
CSN3;HS041806;0.0612;3254;1;0;1358;1;66;1448;0005576, 0007595;;;;;4q21.1;4
AURKA;HS052810;0.0610;3974;1;0;1377;1;66;6790;0005829, 0030496, 0005634, 0048471, 0005876, 0031616, 0005524, 0004674, 0004712, 0031145, 0051301, 0030030, 0007067, 0032091, 0048015, 0045840, 0046777, 0046605, 0031647, 0007051, 0043146;04114;;;;20q13;20
AURKB;HS056195;0.0609;4345;1;0;1391;1;66;9212;0010369, 0032133, 0000780, 0005829, 0030496, 0005819, 0005524, 0046872, 0004674, 0004712, 0007568, 0031145, 0008608, 0008283, 0034644, 0036089, 0016570, 0002903, 0032091, 0000122, 0032467, 0046777, 0034501, 0051983, 0051256, 0043146;;;;;17p13.1;17
HDAC2;HS046147;0.0598;4217;2;0;1492;1;66;3066;0005737, 0035098, 0000792, 0016581, 0005657, 0016580, 0005667, 0003682, 0031490, 0004407, 0032041, 0097372, 0046969, 0046970, 0043565, 0003700, 0007596, 0055013, 0006338, 0016358, 0042733, 0009913, 0061029, 0061198, 0060789, 0021766, 0070932, 0070933, 0006344, 0043066, 0090090, 0060044, 0045786, 0045347, 0010977, 0043433, 0000122, 0048011, 0042475, 0008284, 0032967, 0048714, 0045862, 0010870, 0051091, 0045944, 0090311, 0051896, 0060297, 0006351;04330, 04110, 05169, 05202, 05034, 05200, 05220, 05203, 05016;;;;6q21;6
ABAT;HS042739;0.0581;3739;2;0;1670;1;66;18;0032144, 0005759, 0043005, 0047298, 0003867, 0030170, 0032145, 0048148, 0007620, 0009450, 0007626, 0045776, 0042135, 0007269, 0042493, 0045471, 0001666, 0010039, 0035094;00650, 00250, 04727, 00280, 00640, 00410, 01100;;;;16p13.2;16
