Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
SCN2A;HS051913;0.7662;1315;14;0;573;2;18;6326;0005887, 0014704, 0033268, 0033270, 0030315, 0001518, 0005248, 0006915, 0042552;;;;;2q24.3;2
GRID2;HS045816;0.4225;432;1;0;141;1;18;2895;0030054, 0043197, 0008328, 0045211, 0045202, 0005234, 0008066, 0004970, 0030165, 0097110, 0034613, 0035235, 0060134, 0060079, 0043523, 0010975, 0035249, 0006810;04080, 04730;;;;4q22;4
HTR1B;HS046401;0.2565;7471;1;0;2799;1;18;3351;0005737, 0005887, 0008144, 0051378, 0004993, 0007198, 0046849, 0071312, 0035690, 0071502, 0042756, 0002031, 0030818, 0014063, 0032229, 0051967, 0007205, 0050795, 0014059, 0042220, 0045471, 0051385, 0007268, 0042310;04080, 04726;;;;6q13;6
CD6;HS056225;0.2521;4981;1;0;3027;1;18;923;0009986, 0005887, 0005044, 0007155;04514;;;;11q13;11
COMT;HS041343;0.2256;17893;10;0;4876;1;18;1312;0005829, 0016021, 0043231, 0005739, 0005886, 0016206, 0000287, 0008171, 0042420, 0008210, 0007565, 0007612, 0048609, 0045963, 0048662, 0042136, 0042135, 0050668, 0042493, 0032496, 0014070, 0048265, 0044281, 0006805;00140, 00350, 01100, 04728;;;;22q11.21;22
CYP3A4;HS038002;0.2014;22376;1;0;7543;1;18;1576;0009986, 0005789, 0016021, 0047638, 0034875, 0020037, 0005506, 0016712, 0019825, 0050591, 0005496, 0033780, 0050649, 0070576, 0030343, 0009822, 0008209, 0042738, 0046483, 0016098, 0070989, 0006706, 0006805;00830, 00591, 00980, 00982, 05204, 00983, 04976, 00140;;;;7q21.1;7
INS;HS046933;0.1888;925549;3;0;273579;3;18;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
MBP;HS047910;0.1871;27946;1;0;9756;1;18;4155;0043218, 0033269, 0043025, 0005886, 0019911, 0008366, 0007417, 0006955, 0061024, 0042552, 0050771, 0009636, 0007268;;;;;18q23;18
SERPINC1;HS081907;0.1839;20351;1;0;10342;1;18;462;0005615, 0005886, 0008201, 0004867, 0007596, 0050728, 2000266, 0030162, 0007584;04610;;;;1q25.1;1
B2M;HS050809;0.1693;39822;1;0;13441;1;18;567;0031905, 0031901, 0005788, 0012507, 0009897, 0005576, 0005615, 0000139, 0042612, 0030670, 0005886, 0002479, 0002480, 0002481, 0060333, 0001916, 0042026, 0050690, 0050776, 0046686, 0042493, 0002237, 0033077, 0016032;04612;;;;15q21-q22.2;15
CRH;HS041579;0.1610;65269;1;0;15620;1;18;1392;0005737, 0005615, 0043204, 0043196, 0005184, 0030325, 0008306, 0071314, 0071549, 0016101, 0007631, 0007565, 0033494, 0006704, 0008628, 0021854, 0006954, 0050801, 0007611, 0035641, 0007616, 0030324, 0045776, 0060548, 0042322, 0032811, 0010629, 0070093, 0033685, 0010700, 0007567, 2000987, 0090280, 0030819, 0010942, 0008284, 0010841, 2000854, 0051461, 0051464, 0060456, 0010628, 0035774, 0001934, 2000310, 0014062, 0051412, 0042493, 0043627, 0045471, 0045472, 0035902, 0048265, 0007165, 0001963;04730, 04080, 05034;;;;8q13;8
ACE;HS038018;0.1587;56991;1;0;16280;1;18;1636;0005768, 0009897, 0005615, 0016021, 0005886, 0003779, 0004180, 0031404, 0008144, 0004175, 0008237, 0008241, 0008270, 0002005, 0002003, 0050482, 0001974, 0044267, 0060218, 0042447, 0001822, 0032943, 0043171, 0006508, 0002019, 0014910, 0019229, 0042312;05142, 04614, 05410;;;;17q23.3;17
