Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
PTH;HS051125;0.5639;118719;37;0;37351;17;96;5741;0005576, 0005615, 0005179, 0051428, 0003705, 0007189, 0045453, 0046058, 0007267, 0006874, 0007186, 0008628, 0000122, 0030501, 0030819, 0046326, 0045725, 0009967, 0045944, 0007266, 0001501;04080;;;;11p15.3-p15.1;11
COL4A1;HS041205;0.3241;1187;21;0;526;5;96;1282;0005587, 0005788, 0005576, 0005201, 0048407, 0001525, 0007411, 0071230, 0030574, 0022617, 0007528;04151, 04510, 04512, 05146, 04974, 05200, 05222;;;;13q34;13
CYP27A1;HS042359;0.2960;2576;29;0;903;5;96;1593;0005743, 0005759, 0047749, 0031073, 0020037, 0005506, 0008395, 0030343, 0006699, 0036378, 0008203, 0016125, 0006805;03320, 01100, 00120;;;;2q35;2
TUBA1A;HS039109;0.2210;305;9;0;135;3;96;7846;0005881, 0005829, 0005874, 0005525, 0003924, 0005200, 0005198, 0051084, 0051301, 0030705, 0000086, 0007017, 0051258;05130, 04540, 04145;;;;12q13.12;12
EPG5;HS051357;0.1798;58;9;0;19;2;96;57724;;;;;;18q12.3;18
GALK1;HS044567;0.1537;2813;12;0;1163;3;96;2584;0005829, 0005524, 0004335, 0005534, 0019402, 0019388, 0044281;00052, 01100, 00520;;;;17q24;17
FAR1;HS054881;0.1389;363;11;0;135;2;96;84188;0016021, 0005782, 0005778, 0080019, 0050062, 0008611, 0046474, 0035336, 0010025;04146;;;;11p15.2;11
STOM;HS043106;0.1328;531;5;0;181;2;96;2040;0005737, 0005856, 0070062, 0005887, 0042470, 0045121, 0051260;;;;;9q34.1;9
CDKL5;HS052811;0.1316;809;5;0;192;2;96;6792;0032839, 0044294, 0005634, 0005524, 0004693, 0004674, 0048365, 0001764, 0045773, 0050775, 0032855, 0046777;;;;;Xp22;X
PMM2;HS049458;0.1289;644;3;0;218;2;96;5373;0005829, 0043025, 0004615, 0006488, 0009298, 0019307, 0043687, 0018279;00051, 00520, 01100;;;;16p13;16
COL4A2;HS041224;0.1257;622;6;0;254;2;96;1284;0005587, 0005788, 0005201, 0001525, 0007411, 0071560, 0030574, 0022617, 0016525, 0006351;04512, 04151, 04510, 05222, 05146, 05200, 04974;;;;13q34;13
PAFAH1B1;HS048626;0.1118;1817;3;0;497;2;96;5048;0000235, 0005938, 0031252, 0005813, 0005829, 0030426, 0005871, 0000776, 0005875, 0031512, 0043025, 0005635, 0031965, 0048471, 0031982, 0034452, 0045502, 0008201, 0008017, 0043274, 0051219, 0042803, 0001675, 0030036, 0008344, 0001667, 0048854, 0021895, 0021540, 0051660, 0000132, 0000086, 0021766, 0021819, 0007611, 0016042, 0031023, 0007067, 0046329, 0010977, 0007405, 0050885, 0001764, 0051081, 0007097, 0036035, 0046469, 0045773, 0001961, 0045931, 0009306, 0032319, 0008090, 0017145, 0007268, 0047496;00565, 01100;;;;17p13.3;17
No mapping: HS081207;HS081207;0.0966;19;1;0;5;1;96;;;;;;;null;null
PHGDH;HS044832;0.0964;2302;7;0;1040;2;96;26227;0005829, 0009055, 0051287, 0004617, 0007420, 0022402, 0034641, 0009448, 0021782, 0006541, 0006544, 0006564, 0021915, 0031175, 0010468, 0021510, 0019530, 0006566;01230, 00260, 01200, 01100;;;;1p12;1
PIGY;HS085806;0.0931;28;6;0;7;1;96;84992;0005789, 0000506, 0016021, 0005886;01100, 00563;;;;4q22.1;4
DCX;HS042498;0.0887;3816;2;0;1500;2;96;1641;0005829, 0005874, 0005875, 0043005, 0008017, 0048675, 0007411, 0007420, 0007417, 0021952, 0048813, 0035556, 0001764;;;;;Xq22.3-q23;X
CTAGE5;HS047978;0.0827;50;2;0;19;1;96;4253;;;;;;14q13.3;14
CASR;HS055091;0.0809;8484;8;0;2186;2;96;846;0005887, 0004930, 0004435, 0009653, 0070509, 0006874, 0007635, 0005513, 0001503;;;;;3q13;3
No mapping: HS044762;HS044762;0.0790;108;7;0;27;1;96;;;;;;;null;null
ANO10;HS050028;0.0779;59;7;0;30;1;96;55129;0016021, 0005622, 0005886, 0008219, 0034220;;;;;3p22.1;3
AQP4;HS046916;0.0772;11476;2;0;2609;2;96;361;0016323, 0005911, 0005737, 0009897, 0005887, 0043234, 0030315, 0015288, 0015250, 0015670, 0071392, 0071346, 0007588, 0007565, 0042538, 0050891, 0007399, 0051260, 0070295, 0051384, 0009314, 0007605;04962, 04976;;;;18q11.2-q12.1;18
BAIAP3;HS055749;0.0769;81;1;0;33;1;96;8938;0008022, 0007186, 0007269;05202;;;;16p13.3;16
ALG8;HS053667;0.0760;77;1;0;36;1;96;79053;0005789, 0016021, 0000033, 0006488, 0043687, 0018279;01100, 00510;;;;11q14.1;11
No mapping: HS085808;HS085808;0.0737;132;1;0;45;1;96;;;;;;;null;null
PDIA2;HS052319;0.0703;224;1;0;62;1;96;64714;0005783, 0005788, 0003756, 0015035, 0005496, 0045454, 0071456, 0097194, 0006662, 0006621, 0034976;;;;;16p13.3;16
No mapping: HS053400;HS053400;0.0695;140;1;0;67;1;96;;;;;;;null;null
ADAMTS18;HS042647;0.0685;205;1;0;74;1;96;170692;0005578, 0004222, 0008270, 0006508;;;;;16q23;16
SIL1;HS052181;0.0674;266;1;0;82;1;96;64374;0005783, 0005788, 0051082, 0006886, 0006457;04141;;;;5q31;5
STRA6;HS052116;0.0650;386;1;0;103;1;96;64220;0016021, 0005886, 0043234, 0004872, 0051183, 0030325, 0061143, 0048589, 0060539, 0048546, 0097070, 0043583, 0060900, 0048566, 0061029, 0060325, 0007631, 0030540, 0001822, 0060426, 0050905, 0043585, 0061205, 0007603, 0048520, 0061156, 0003184, 0042573, 0001523, 0048745, 0061038, 0003281, 0071939, 0042297;;;;;15q24.1;15
HSPA5;HS046374;0.0638;15250;2;0;4965;2;96;3309;0009986, 0034663, 0005788, 0005793, 0030176, 0042470, 0030496, 0005634, 0005524, 0016887, 0005509, 0051087, 0051787, 0030674, 0043022, 0051082, 0006987, 0042149, 0071353, 0021680, 0021589, 0006983, 0030433, 0043066, 0030512, 0030168, 0002576, 0031398, 0060904;04612, 05020, 04918, 03060, 04141;;;;9q33.3;9
CTDP1;HS056092;0.0637;443;2;0;117;1;96;9150;0015629, 0005813, 0005737, 0030496, 0005654, 0051233, 0000922, 0008420, 0003899, 0051301, 0010458, 0050434, 0006470, 0006368, 0016032;;;;;18q23;18
MMACHC;HS044683;0.0629;584;6;0;127;1;96;25974;0005829, 0005739, 0031419, 0009236;04977;;;;1p34.1;1
PEX7;HS049282;0.0626;376;1;0;130;1;96;5191;0005829, 0005782, 0005053, 0042803, 0001958, 0008611, 0006635, 0001764, 0016558;04146;;;;6q23.3;6
DPAGT1;HS042738;0.0613;558;6;0;148;1;96;1798;0030176, 0008963, 0016757, 0003975, 0019408, 0006488, 0043687, 0018279, 0051259, 0006047;00510, 01100;;;;11q23.3;11
GNPAT;HS055012;0.0610;332;1;0;152;1;96;8443;0005739, 0005782, 0005778, 0016287, 0016290, 0021587, 0008611, 0030913, 0006654, 0042493, 0070542, 0007584, 0042594, 0007416;04146, 00564;;;;1q42;1
SLC2A1;HS052483;0.0609;20109;19;0;5716;2;96;6513;0016323, 0005901, 0005911, 0030864, 0001939, 0016021, 0042470, 0030496, 0005886, 0055056, 0033300, 0005355, 0043621, 0042910, 0042149, 0006112, 0019852, 0006461, 0050796, 0006970;04066, 05166, 04911, 04976, 04920, 05200, 05211;;;;1p34.2;1
COL6A2;HS041264;0.0605;278;1;0;159;1;96;1292;0005581, 0005788, 0005615, 0043234, 0005578, 0042383, 0005201, 0030674, 0007411, 0016337, 0030574, 0022617, 0070208;04151, 04510, 04974, 04512;;;;21q22.3;21
SACS;HS044877;0.0596;605;4;0;173;1;96;26278;0030424, 0070852, 0030425, 0005739, 0005634, 0005524, 0051087, 0008219, 0090084, 0006457;;;;;13q12;13
OCRL;HS048553;0.0592;747;2;0;180;1;96;4952;0030136, 0005905, 0005829, 0005769, 0031901, 0005795, 0005798, 0005634, 0030670, 0001750, 0005886, 0005802, 0052745, 0004439, 0030675, 0042384, 0001701, 0043647, 0006661, 0046856, 0032314, 0007264;04070, 00562, 01100;;;;Xq25;X
No mapping: HS039978;HS039978;0.0588;535;8;0;188;1;96;;;;;;;null;null
DMD;HS042706;0.0583;27969;2;0;6465;2;96;1756;0009986, 0030055, 0043034, 0005856, 0005829, 0016010, 0030175, 0045121, 0044306, 0005634, 0045211, 0042383, 0016013, 0030018, 0003779, 0005509, 0017022, 0050998, 0005200, 0008307, 0008270, 0060048, 0043623, 0034613, 0008065, 0060857, 0030198, 0044458, 0046716, 0048747, 0030049, 0007517, 0014904, 1902083, 0033137, 0045213, 0051647, 0021629, 0043043, 0001954, 0045666, 0010976, 2000651, 0086001, 0010881, 0090287, 0002027, 0060314, 0014809, 0006355, 1901385, 0007519;05414, 05416, 05412, 05410;;;;Xp21.2;X
GDF6;HS047567;0.0573;690;1;0;217;1;96;392255;0005615, 0032924, 0030509, 0040007, 0060389, 0045666, 0010862, 0045893, 1990009;04060, 04350, 04390;;;;8q22.1;8
NAGA;HS048307;0.0571;466;1;0;220;1;96;4668;0005737, 0005764, 0004557, 0008456, 0016052, 0016139, 0046477, 0009311;00603, 04142;;;;22q11;22
