Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
APC;HS046322;0.9733;21227;4;0;7849;3;15;324;0005912, 0044295, 0030877, 0005813, 0005881, 0005829, 0000776, 0030027, 0016328, 0035371, 0005634, 0032587, 0005923, 0051010, 0019887, 0009952, 0009798, 0007409, 0060070, 0007155, 0007050, 0016477, 0006921, 0051276, 0031122, 0009953, 0001942, 0001822, 0007091, 0000281, 0007094, 0046716, 0043066, 0090090, 0008285, 0045736, 0060770, 0043409, 0007026, 0042483, 0043065, 0045785, 0051781, 0030335, 0030858, 0031116, 0045732, 0031274, 0006461, 0009954, 0051988, 0051171, 0045667, 0045670, 0006974, 0060041, 0035019, 0033077, 0048538, 0070830;04310, 05206, 05217, 04810, 04390, 05166, 05213, 05200, 05210;;;;5q21-q22;5
TM4SF1;HS047821;0.5708;234;9;0;65;1;15;4071;0005887;;;;;3q21-q25;3
CENPB;HS039905;0.4566;1287;2;0;360;1;15;1059;0000775, 0005634, 0019237, 0003682, 0003696, 0006355;;;;;20p13;20
IQGAP1;HS055655;0.4513;1983;8;0;390;1;15;8826;0005884, 0031252, 0005737, 0016328, 0005874, 0030496, 0043005, 0005634, 0005886, 0030529, 0036057, 0005509, 0005516, 0005096, 0005095, 0005099, 0071277, 0006112, 0072015, 0035305, 0045860, 0032320, 0001817, 0050796, 0007165, 0007264, 0044281;04810, 05205, 04520;;;;15q26.1;15
COL7A1;HS041268;0.4483;1041;4;0;408;1;15;1294;0005604, 0005590, 0005788, 0004867, 0007155, 0030574, 0008544, 0022617;04974;;;;3p21.1;3
PIPOX;HS048940;0.4196;1383;2;0;628;1;15;51268;0005777, 0050031, 0008115, 0033514, 0046653;01100, 04146, 00260, 00310;;;;17q11.2;17
CSPG4;HS041863;0.3791;3013;1;0;1152;1;15;1464;0016324, 0009986, 0005576, 0005796, 0005887, 0031258, 0043202, 0004871, 0000187, 0001525, 0005975, 0008283, 0030206, 0030207, 0030208, 0008347, 0035556, 0050731, 0048771, 0007169;;;;;15q24.2;15
DPYD;HS042745;0.3496;7960;6;0;1794;1;15;1806;0005829, 0051539, 0004158, 0017113, 0050660, 0046872, 0050661, 0042803, 0019483, 0006145, 0006214, 0006210, 0006222, 0006212;01100, 00240, 00770, 00983, 00410;;;;1p22;1
FSHR;HS044294;0.3419;6749;9;0;2014;1;15;2492;0009986, 0005768, 0016021, 0005886, 0004963, 0017046, 0007189, 0007193, 0071711, 0007610, 0009992, 0007292, 0042699, 0008584, 0045779, 0031175, 0007200, 0033148, 0001545, 0060408, 0033044, 0032350, 0043408, 0045670, 0010640, 0001932, 0003073, 0060009, 0060011, 0007283, 0035093, 0045056, 0060065;04080, 04913;;;;2p21-p16;2
CYP2C9;HS042261;0.3010;12394;1;0;3716;1;15;1559;0005789, 0052741, 0018675, 0018676, 0034875, 0008144, 0020037, 0005506, 0008395, 0019373, 0042738, 0016098, 0097267, 0070989, 0008202, 0019627, 0006805;05204, 04726, 00982, 00590, 00591, 00980, 00830;;;;10q24;10
NES;HS040031;0.2876;10707;2;0;4543;1;15;10763;0005737, 0005882, 0019215, 0005198, 0007420, 0048858, 0031076, 0000086, 0043066, 0043086, 0032091, 0030844, 2000179, 0072089;;;;;1q23.1;1
CDC42;HS039406;0.2828;12698;2;0;4883;1;15;998;0045177, 0005829, 0030175, 0000139, 0005815, 0030496, 0072686, 0043005, 0043025, 0005886, 0030141, 0051233, 0005525, 0003924, 0019901, 0030036, 0090135, 0051017, 0034332, 0007411, 0007596, 0060070, 0003161, 0034613, 0007173, 0090136, 0060684, 0051683, 0035088, 0007163, 0038096, 0046847, 0007030, 0031069, 0060789, 0060047, 0045087, 0031424, 0003334, 0030225, 0035264, 0042692, 0042059, 0010629, 0031333, 0048664, 0007097, 0072384, 0032467, 0045740, 0010628, 0071338, 0090316, 0046330, 0048554, 0051149, 0043525, 0033138, 0043552, 0031274, 1900026, 0051835, 0051988, 0051489, 0007088, 0042176, 0043497, 0045859, 0031647, 0051056, 0007264, 0002040, 0060661, 0031295;04912, 04530, 04932, 04360, 04370, 04810, 04666, 05100, 05130, 05205, 05131, 04660, 05211, 04010, 04062, 04015, 04014, 04144, 05212, 05203, 04510, 04520, 04722, 05120, 05132, 05200, 04670;;;;1p36.1;1
RAC1;HS051518;0.2674;17778;1;0;6154;1;15;5879;0005829, 0019897, 0000139, 0030027, 0042470, 0001891, 0005886, 0032587, 0005802, 0005525, 0003924, 0030041, 0048532, 0097190, 0002093, 0007411, 0045453, 0048870, 0008283, 0045216, 0007160, 0021799, 0090103, 0048813, 0071542, 0021831, 0043652, 0003382, 0038095, 0038096, 0006972, 0006954, 0045087, 0035556, 0030032, 0051668, 0002551, 0032707, 0048261, 0048011, 0030168, 0030838, 0043065, 0045740, 0010592, 0043552, 0001934, 0035025, 0030334, 0050690, 0010310, 0060263, 0097178, 0031529, 0007264, 0034446, 0031295, 0016032, 0060071;04010, 04145, 05212, 04620, 04972, 04510, 04151, 04662, 05205, 05132, 04722, 05203, 05014, 04650, 04664, 04666, 05416, 05120, 05210, 04380, 05200, 05100, 05131, 04014, 04810, 05211, 04062, 04310, 04015, 04360, 04670, 04370, 04932, 04520;;;;7p22;7
RELA;HS051622;0.2464;19619;1;0;8435;1;15;5970;0005829, 0005654, 0005667, 0003682, 0042802, 0042301, 0003705, 0043565, 0044212, 0006117, 0007568, 0006968, 0071347, 0071222, 0071356, 0019221, 0051607, 0038095, 0001942, 0006954, 0045087, 0001889, 0031293, 0019048, 0002755, 0043066, 2001237, 0046627, 0042177, 0045892, 0048011, 0070431, 0009887, 0008284, 0032332, 0043123, 0045084, 0051092, 0014040, 0045944, 0032481, 0050727, 0043200, 0051591, 0033590, 0042493, 0042542, 0032868, 0009612, 0043278, 0032495, 0032570, 0010224, 0050852, 0034166, 0034134, 0034138, 0034142, 0034146, 0034162, 0038123, 0038124, 0035666;05132, 05131, 05140, 05145, 05142, 05134, 05152, 05160, 05161, 05164, 05162, 05168, 05030, 05169, 05200, 05133, 05212, 05215, 05220, 05221, 05222, 04010, 05166, 04623, 04066, 05146, 05321, 05202, 04660, 04920, 05203, 04014, 04062, 04064, 04151, 04210, 04620, 04380, 04621, 04622, 04668, 04662, 04722, 04917, 04932, 05120;;;;11q13;11
SRC;HS052741;0.2121;38839;1;0;14102;1;15;6714;0005901, 0005856, 0005829, 0005770, 0005764, 0005743, 0005634, 0005524, 0020037, 0005178, 0004715, 0005070, 0007411, 0045453, 0060444, 0007155, 0007049, 0071393, 0007173, 0038096, 0008543, 0030900, 0045087, 0007243, 0050900, 0019048, 2000811, 0043154, 2001237, 0051895, 2001243, 0032463, 0048011, 0048477, 0030168, 0090263, 0070374, 0033625, 0071803, 0051897, 0050847, 0046777, 0007265, 0045124, 0033146, 0043393, 0043114, 0070555, 0007172, 0031295, 0060065;04912, 04510, 04915, 04520, 05120, 05100, 04727, 04062, 05152, 04144, 04917, 04370, 05131, 04810, 04015, 04540, 04012, 05205, 05203, 04530, 05161;;;;20q12-q13;20
GLUL;HS045272;0.2112;25431;1;0;14293;1;15;2752;0043679, 0005829, 0005739, 0043204, 0043234, 0005791, 0005524, 0016595, 0004351, 0004356, 0000287, 0030145, 0008283, 0034641, 0006538, 0006542, 0001504, 0050679, 0032024, 0051968, 0051260, 0009749;00250, 00630, 00330, 01100, 00910, 04727, 01230, 04724;;;;1q31;1
PGR;HS049321;0.1977;53109;1;0;17502;1;15;5241;0005741, 0005654, 0003677, 0004879, 0043565, 0005496, 0003707, 0008270, 0007267, 0002070, 0010629, 0001542, 0050847, 0050678, 0060748, 0006367;04114, 04914;;;;11q22-q23;11
MPO;HS048051;0.1958;46307;2;0;18025;1;15;4353;0005615, 0005764, 0005739, 0005634, 0030141, 0003682, 0020037, 0008201, 0046872, 0004601, 0006952, 0050832, 0042744, 0002149, 0034374, 0043066, 0044130, 0019430, 0002679, 0001878;04145, 05202;;;;17q23.1;17
