Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
DGCR;HS079577;0.9179;680;5;0;412;1;8;1714;;;;;;22q11.21-q11.23;22
FLNA;HS043799;0.8401;3061;2;0;768;1;8;2316;0015629, 0005938, 0005829, 0070062, 0031523, 0005634, 0005886, 0005802, 0051015, 0034988, 0001948, 0042803, 0048365, 0017160, 0004871, 0051764, 0031532, 0007195, 0034329, 0042384, 0051220, 0045022, 0001837, 0045184, 0042177, 0043433, 0030168, 0002576, 0043123, 0042993, 0034394, 0050821, 0043113, 0090307;04510, 05205, 04010, 05132;;;;Xq28;X
IL16;HS046909;0.8228;3775;1;0;882;1;8;3603;0005737, 0005615, 0005634, 0005886, 0006955, 0050930, 0030595, 0019048, 0006355, 0006351;;;;;15q26.3;15
PDE4A;HS049051;0.7845;3028;1;0;1198;1;8;5141;0005829, 0016020, 0048471, 0032587, 0004115, 0030552, 0046872, 0006198, 0035690, 0043949, 0010738, 0007608, 0007165;00230, 05032;;;;19p13.2;19
AURKA;HS052810;0.7671;3974;1;0;1377;1;8;6790;0005829, 0030496, 0005634, 0048471, 0005876, 0031616, 0005524, 0004674, 0004712, 0031145, 0051301, 0030030, 0007067, 0032091, 0048015, 0045840, 0046777, 0046605, 0031647, 0007051, 0043146;04114;;;;20q13;20
HDAC2;HS046147;0.7571;4217;2;0;1492;1;8;3066;0005737, 0035098, 0000792, 0016581, 0005657, 0016580, 0005667, 0003682, 0031490, 0004407, 0032041, 0097372, 0046969, 0046970, 0043565, 0003700, 0007596, 0055013, 0006338, 0016358, 0042733, 0009913, 0061029, 0061198, 0060789, 0021766, 0070932, 0070933, 0006344, 0043066, 0090090, 0060044, 0045786, 0045347, 0010977, 0043433, 0000122, 0048011, 0042475, 0008284, 0032967, 0048714, 0045862, 0010870, 0051091, 0045944, 0090311, 0051896, 0060297, 0006351;04330, 04110, 05169, 05202, 05034, 05200, 05220, 05203, 05016;;;;6q21;6
SAG;HS051888;0.7426;3930;1;0;1675;1;8;6295;0005829, 0001917, 0001750, 0004864, 0022400, 0016056, 0007601;;;;;2q37.1;2
RNASE3;HS051677;0.7020;9077;1;0;2318;1;8;6037;0005576, 0016892, 0003676, 0004540, 0042742, 0006401;05310;;;;14q24-q31;14
ADORA1;HS041420;0.6589;6723;1;0;3272;1;8;134;0032279, 0030673, 0016323, 0030425, 0012505, 0005783, 0005887, 0043025, 0014069, 0045211, 0048786, 0042734, 0043195, 0001609, 0004629, 0001883, 0000186, 0007193, 0097190, 0007267, 0050890, 0050965, 0006954, 0016042, 0002674, 0043066, 0045776, 0055118, 0008285, 0042323, 0014050, 0045822, 0046888, 0002686, 0050995, 0070256, 0032900, 0035814, 0032229, 0051967, 0045908, 0007399, 0006909, 0045777, 0045741, 0032244, 0002793, 0043268, 0035307, 0006612, 0060079, 0003093, 0002087, 0048167, 0060087, 0001666, 0001659;05032, 04080;;;;1q32.1;1
TNNI3;HS053084;0.6343;16239;6;0;3985;1;8;7137;0005829, 0005861, 0003779, 0019855, 0046872, 0060048, 0006874, 0030049, 0032780, 0006940, 0001980, 0001570, 0055010;05410, 05414, 04261, 04260;;;;19q13.4;19
ENO1;HS043054;0.5264;14232;3;0;9447;1;8;2023;0005829, 0070062, 0031430, 0005634, 0000015, 0005886, 0003677, 0000287, 0004634, 0003700, 0003714, 0006094, 0006096, 0030308, 0000122, 0009615, 0044281, 0006351;03018, 01230, 01200, 01100, 00010, 04066;;;;1p36.2;1
APOE;HS046744;0.4414;70809;6;0;18643;1;8;348;0042627, 0030425, 0005769, 0071682, 0031232, 0005794, 0034364, 0034363, 0005770, 0034362, 0043025, 0005886, 0034361, 0016209, 0001540, 0017127, 0008201, 0046848, 0005319, 0071813, 0050750, 0046911, 0060228, 0005543, 0042803, 0070326, 0007568, 0048844, 0008219, 0006874, 0071397, 0071363, 0071347, 0019934, 0006707, 0033344, 0042632, 0008203, 0034382, 0007010, 0007186, 0034380, 0034384, 0034375, 0046907, 0042158, 0042159, 0042157, 0034374, 0051651, 0043537, 0045541, 0001937, 0050728, 0043407, 0043524, 0010544, 0007263, 0048709, 0014012, 0033700, 0007603, 0045773, 0030828, 0010875, 0010873, 0032805, 0051044, 0051000, 0006898, 0030516, 0032489, 0010468, 0048168, 0002021, 0045471, 0032868, 0000302, 0032526, 0001523, 0043691, 0007271, 0006641, 0042311, 0034447, 0034372;05010;;;;19q13.2;19
EDN1;HS042819;0.4044;129208;3;0;25055;1;8;1906;0005737, 0005615, 0005125, 0031707, 0031708, 0005179, 0014824, 0007589, 0019722, 0051216, 0016049, 0071347, 0071356, 0009953, 0007204, 0051482, 0042045, 0007186, 0015758, 0007507, 0001821, 0001701, 0048016, 0007243, 0045321, 0060137, 0051899, 0042474, 0010259, 0030195, 0030818, 0032269, 0046888, 0051771, 0034392, 0000122, 0014032, 0030185, 0001569, 0030072, 0014065, 0031583, 0010613, 0045793, 0070101, 0010595, 0010460, 0046887, 0043507, 0045840, 0090023, 0045429, 0042482, 0060585, 0010870, 0035815, 0060298, 0048661, 0045987, 0035810, 0001516, 0042313, 0007205, 0006885, 0051930, 0003100, 0019229, 0007585, 0043200, 0001666, 0032496, 0035094, 0033574, 0043179, 0019233, 0042554, 0014826;04916, 05410, 04668, 04066, 04080, 04270;;;;6p24.1;6
IL1B;HS046858;0.2456;276281;2;0;89255;1;8;3553;0005829, 0005615, 0030141, 0005125, 0005149, 0000187, 0006915, 0007267, 0035690, 0071260, 0071407, 0019221, 0007566, 0001660, 0030213, 0006955, 0006954, 0032611, 0031663, 0000165, 0070487, 0070164, 0008285, 2001240, 0010829, 0046627, 0050995, 0043407, 0030593, 0045766, 0060559, 0060355, 0051781, 0045080, 0031622, 0032725, 0034116, 0035066, 0033129, 0043123, 0032729, 0045086, 0045410, 0032755, 0032757, 0046330, 0050996, 0051044, 0045840, 0071639, 0035505, 0042346, 0051092, 0045429, 0032308, 0046827, 0002711, 0042102, 0045944, 0045893, 0030949, 0010575, 0043491, 0050796, 0033198, 0030730, 0014805;05146, 05144, 05142, 05133, 05132, 04932, 05152, 05164, 05168, 05162, 04623, 04010, 05321, 05332, 05323, 04940, 04668, 04620, 04621, 04380, 04060, 05134, 05010, 05143, 04210, 05020, 04064, 04640, 05140;;;;2q14;2
TNF;HS053072;0.1549;558309;2;0;184493;1;8;7124;0009897, 0005615, 0005887, 0045121, 0001891, 0055037, 0005125, 0042802, 0044212, 0005164, 0006919, 0000187, 0000185, 0060555, 0019722, 0001775, 0071230, 0071316, 0002439, 0050830, 0048566, 0060664, 0030198, 0008625, 0006006, 0006959, 0007254, 0050901, 0031663, 0000165, 0070265, 0010693, 0061048, 0008285, 0002740, 2001240, 0045599, 0046325, 0044130, 0032715, 0002037, 0050995, 0010888, 0045668, 0043242, 0000122, 0045071, 0009887, 0030316, 0043065, 0060559, 2000343, 0045080, 0002876, 0050715, 0070374, 0031622, 0051798, 0034116, 0002925, 0043123, 0032729, 0032755, 0045416, 0046330, 0043507, 0051044, 0045840, 0071677, 0043525, 0042346, 0051092, 0051533, 0045429, 0045672, 0033138, 0071803, 0043243, 0051897, 2000010, 0048661, 0050806, 0045944, 0045994, 0060557, 0000060, 0043491, 0032800, 0060693, 0051023, 0050796, 0014823, 0042493, 0051384, 0001666, 0009612, 0009651, 0009615, 0030730, 0003009, 0006927, 0033209;04621, 05152, 05143, 05010, 05142, 05161, 04640, 05133, 04380, 05134, 05160, 05164, 05332, 05323, 05166, 05410, 04932, 05146, 05330, 05322, 05140, 05205, 04650, 05321, 04612, 05310, 05414, 04930, 05144, 04664, 05168, 04010, 04060, 04064, 04150, 04210, 04622, 04668, 04620, 05145, 04940, 04350, 05014, 04660, 04920;;;;6p21.3;6
