Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
ATN1;HS042763;1.3260;1543;196;0;502;43;243;1822;0030054, 0005737, 0016363, 0048471, 0003714, 0016477, 0007417, 0030011, 0000122, 0051402, 0009404, 0006351;;;;;12p13.31;12
NOTCH3;HS048465;0.2673;3398;24;0;1122;12;243;4854;0005829, 0005789, 0005576, 0000139, 0016021, 0005654, 0005886, 0005509, 0030900, 0072104, 0045665, 0048663, 0007220, 0007219, 0048661, 0006355, 0006367;05206, 04320, 04330;;;;19p13.2-p13.1;19
EPM2A;HS053799;0.2255;751;28;0;178;8;243;7957;0005829, 0005783, 0005634, 0005886, 0005844, 0004722, 0004725, 0008138, 2001070, 0007610, 0005977, 0007399;;;;;6q24;6
SERPINI1;HS049348;0.2167;926;46;0;232;8;243;5274;0005615, 0004867, 0007417, 0007422, 0030155, 0030162;;;;;3q26.1;3
No mapping: HS053848;HS053848;0.2125;42;18;0;23;6;243;;;;;;;null;null
PSEN1;HS050784;0.1826;15259;45;0;4087;11;243;5663;0016324, 0030424, 0005938, 0009986, 0005813, 0035253, 0031410, 0043198, 0005789, 0070765, 0005794, 0000139, 0030426, 0005887, 0000776, 0005765, 0045121, 0005743, 0031594, 0043025, 0005640, 0048471, 0005791, 0005790, 0030018, 0004190, 0045296, 0005262, 0004175, 0000186, 0042987, 0042640, 0000045, 0034205, 0050435, 0001568, 0048854, 0021870, 0001708, 0016337, 0021795, 0015871, 0021904, 0030326, 0050673, 0001947, 0002244, 0035556, 0015813, 0006509, 0007613, 0006839, 0002573, 0043066, 0050771, 0007175, 0043524, 2000059, 0000122, 0051444, 0051402, 0048666, 0001764, 0007220, 0007219, 0043065, 0043085, 0050820, 0043406, 0032436, 0001921, 0009791, 0006486, 0016485, 0015031, 0042325, 0043393, 0060075, 0048167, 0051966, 0006974, 0006979, 0048705, 0043589, 0051563, 0001756, 0016080, 0002286, 0050852, 0048538;04722, 04330, 05010, 04310;;;;14q24.3;14
PSEN2;HS050785;0.1607;3292;13;0;1271;8;243;5664;0016324, 0030424, 0005938, 0009986, 0005813, 0035253, 0005829, 0043198, 0005783, 0005789, 0005794, 0000139, 0030426, 0005887, 0000776, 0005765, 0045121, 0005743, 0031594, 0043025, 0005637, 0048471, 0030018, 0004190, 0004175, 0042987, 0042640, 0097190, 0050435, 0048854, 0006816, 0060048, 0001708, 0021904, 0030326, 0032469, 0030900, 0002244, 0035556, 0040011, 0048286, 0006509, 0031293, 0007613, 0002573, 0043066, 0001933, 0048011, 0007220, 0007219, 0043065, 0043085, 0050820, 0016485, 0015031, 0007176, 0043393, 0048167, 0001666, 0001756, 0002286, 0050852, 0048538;04722, 05010, 04330;;;;1q31-q42;1
TPP1;HS040875;0.1464;2199;18;0;912;7;243;1200;0043202, 0042470, 0005739, 0004175, 0046872, 0042277, 0004252, 0008240, 0006987, 0045453, 0008219, 0044267, 0006629, 0007040, 0007399, 0050885, 0043171, 0030163, 0006508;04142;;;;11p15;11
CSTB;HS041925;0.1131;4285;38;0;1288;6;243;1476;0005737, 0005730, 0004869, 0008344, 0042981;;;;;21q22.3;21
No mapping: HS085146;HS085146;0.1099;347;10;0;106;4;243;;;;;;;null;null
PPT1;HS050247;0.1073;2106;10;0;571;5;243;5538;0030424, 0005829, 0030425, 0005576, 0005615, 0005794, 0005764, 0045121, 0043025, 0005634, 0008021, 0008474, 0016290, 0008344, 0006309, 0008306, 0007420, 0044257, 0051186, 0051181, 0007625, 0007042, 0031579, 0030308, 0043524, 0048666, 0007269, 0006907, 0048549, 0048260, 0002084, 0015031, 0006898, 0032429, 0050803, 0030149, 0007601;01212, 00062, 01100, 04142;;;;1p32;1
CLN6;HS049914;0.1059;393;6;0;135;4;243;54982;0005788, 0005789, 0016021, 0042803, 0008219, 0044265, 0008203, 0001573, 0030203, 0031987, 0007042, 0045862, 0030163;;;;;15q23;15
NHLRC1;HS047164;0.1016;571;11;0;175;4;243;378884;0005783, 0005634, 0048471, 0004842, 0008270, 0031398, 0043161, 0000209;04120;;;;6p22.3;6
No mapping: HS040884;HS040884;0.1014;640;9;0;177;4;243;;;;;;;null;null
