Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
INS;HS046933;1.3617;925549;681;0;273579;293;510;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
KCNJ11;HS047130;0.7207;5159;244;0;1842;63;510;3767;0008282, 0005783, 0005739, 0030315, 0008076, 0005524, 0015272, 0030955, 0006112, 0006006, 0046676, 0010107, 0042391, 0033198, 0042493, 0033574, 0044281, 0007268;04911, 04930;;;;11p15.1;11
ABCC8;HS052834;0.3698;4306;107;0;1324;34;510;6833;0008076, 0005524, 0042626, 0015079, 0008281, 0006200, 0005975, 0006112, 0050796, 0007268;04911, 04930, 02010;;;;11p15.1;11
HBA2;HS046132;0.3230;45979;75;0;33862;58;510;3039, 3040;0022627, 0071682, 0005576, 0031838, 0005833, 0020037, 0005506, 0019825, 0005344, 0015701, 0042744, 0015671, 0010942, 0051291, 0044281;05143, 05144;;;;16p13.3;16
GLUL;HS045272;0.2698;25431;44;0;14293;41;510;2752;0043679, 0005829, 0005739, 0043204, 0043234, 0005791, 0005524, 0016595, 0004351, 0004356, 0000287, 0030145, 0008283, 0034641, 0006538, 0006542, 0001504, 0050679, 0032024, 0051968, 0051260, 0009749;00250, 00630, 00330, 01100, 00910, 04727, 01230, 04724;;;;1q31;1
GCG;HS044909;0.0981;120638;62;0;37926;26;510;2641;0005788, 0005576, 0005615, 0005886, 0034774, 0005102, 0008283, 0044267, 0071377, 0006112, 0007631, 0007186, 0043066, 0090280, 0030819, 0070374, 0035774, 0033138, 0010800, 0032092, 0045860, 0010737, 0050796, 0044281;04080, 04911;;;;2q36-q37;2
GAD2;HS044495;0.0587;5319;24;0;1898;8;510;2572;0031225, 0030424, 0030054, 0061202, 0005829, 0000139, 0048471, 0005886, 0042734, 0030672, 0016595, 0004351, 0030170, 0006540, 0042136, 0007269, 0042493;00250, 00410, 00650, 00430, 04727, 04940, 01100;;;;10p11.23;10
TNDM;HS080585;0.0432;442;9;0;163;4;510;7952;;;;;;;6
WFS1;HS053377;0.0367;1368;11;0;370;4;510;7466;0030425, 0030176, 0033613, 0005215, 0031625, 0006987, 0032469, 0006983, 0030433, 0042593, 0001822, 1902236, 0043524, 0043433, 2000675, 0070845, 0051928, 0045927, 0031398, 0045862, 0022417, 0050821, 0003091, 0007605, 0007601;04141;;;;4p16.1;4
GAD1;HS044486;0.0364;7908;9;0;2707;6;510;2571;0061202, 0005886, 0016595, 0004351, 0030170, 0009449, 0006540, 0042136, 0007269, 0018352, 0042493;00250, 00430, 04727, 04940, 00650, 01100, 00410;;;;2q31;2
SLC19A2;HS039878;0.0306;608;13;0;165;3;510;10560;0016021, 0005886, 0008517, 0015403, 0015888, 0042723;04977;;;;1q23.3;1
IER3IP1;HS048837;0.0257;615;24;0;380;3;510;51124;0005783, 0005789, 0005794, 0016021, 2000269;;;;;18q12;18
DPYSL2;HS042747;0.0256;1662;6;0;386;3;510;1808;0030424, 0005829, 0030425, 0030426, 0005739, 0043025, 0043234, 0004157, 0007411, 0007010, 0006897, 0006139, 0021772, 0014049, 0006208, 0045664, 0001975, 0042220, 0042493, 0007165, 0021510, 0048489;04360;;;;8p22-p21;8
KCNJ8;HS047126;0.0254;1103;4;0;400;3;510;3764;0008282, 0005739, 0030016, 0042383, 0008076, 0005524, 0015272, 0005242, 0051607, 0007507, 0001822, 0010107, 0043330, 0032496, 0009268, 0007268, 0042311;;;;;12p11.23;12
POLG;HS049553;0.0249;1157;12;0;433;3;510;5428;0005760, 0005743, 0042645, 0003682, 0003677, 0003887, 0004527, 0007568, 0006287, 0008219, 0006261, 0006264;01100;;;;15q25;15
ATP6AP2;HS039549;0.0249;1015;7;0;438;3;510;10159;0044297, 0009897, 0016021, 0043005, 0004190, 0004872, 0002003, 0044267, 0032914, 0043408;;;;;Xp11.4;X
NLGN2;HS051229;0.0208;270;4;0;100;2;510;57555;0030054, 0009986, 0060077, 0005887, 0045211, 0042734, 0050839, 0042043, 0004872, 0045217, 0097116, 0035641, 0050885, 0007158, 2000463, 0097151, 0051965, 0032230, 0051968, 0097119, 0097104, 0097105, 0035418, 2000311, 0002087, 0019233, 0072553;04514;;;;17p13.1;17
EIF2AK3;HS056511;0.0200;2255;7;0;1007;3;510;9451;0005789, 0016021, 0005524, 0004694, 0006919, 0006987, 0030282, 0019722, 0002063, 0031018, 0007029, 0006983, 0045444, 0030073, 0048009, 0007595, 0031642, 0032057, 0032092, 0009967, 0046777, 0051260, 0019217, 0032933, 0006412, 0006926;04141, 05162, 05164, 04932, 05160, 05169, 05168, 05010;;;;2p12;2
PDX1;HS038411;0.0182;5185;3;0;1357;3;510;3651;0005829, 0005634, 0003682, 0001046, 0003700, 0007417, 0051594, 0048565, 0031017, 0006091, 0042593, 0006006, 0030073, 0001889, 0016331, 0008285, 0000122, 0007263, 0009887, 0031100, 0010260, 0010942, 0008284, 0043388, 0032024, 0045944, 0010157, 0034097, 0042493, 0070542, 0051384, 0043201, 0035094, 0033273, 0009611, 0007224, 0048863, 0006366, 0060290, 0003309;04911, 04950, 04930;;;;13q12.1;13
