Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCN1A;HS051911;0.1851;2847;2215;0;829;575;16648;6323;0043194,16021,14704,43025,33268,30315,1518,30018,5248,7628,50884,19227, 0019228;04728;;;;2q24.3;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNQ2;HS047155;0.0669;1964;950;0;541;229;16648;3785;0043194,33268,8076,5251,7411, 0007268;04725;;;;20q13.3;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFAP;HS045002;0.0563;50568;1032;0;21485;485;16648;2670;0097449,44297,5829,5882,16020,5200,14002,60020,30198,45109,60291,10977,31102,10625,51580, 0009611;;;;;17q21;17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAT;HS042739;0.0497;3739;433;0;1670;223;16648;18;0032144,5759,43005,47298,3867,30170,32145,48148,7620,9450,7626,45776,42135,7269,42493,45471,1666,10039, 0035094;00650,250,4727,280,640,410, 01100;;;;16p13.2;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUL;HS045272;0.0475;25431;561;0;14293;378;16648;2752;0043679,5829,5739,43204,43234,5791,5524,16595,4351,4356,287,30145,8283,34641,6538,6542,1504,50679,32024,51968,51260, 0009749;00250,630,330,1100,910,4727,1230, 04724;;;;1q31;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGI1;HS056194;0.0453;2080;816;0;597;169;16648;9211;0030054,5576,5615,45202,7411,8283,30307,50806, 0051260;;;;;10q24;10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNQ3;HS047156;0.0433;839;358;0;307;145;16648;3786;0043194,33268,8076,5251,7411,60081, 0007268;04725;;;;8q24;8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSC1;HS053152;0.0421;4051;519;0;1386;188;16648;7248;0005938,30426,43231,30027,16020,33596,30695,32862,55007,7050,30030,7160,21987,21766,8286,1822,42552,8285,45792,32007,17148,1843,51894,6813,51291,50821,43666,45859,51492,6407, 0050808;04151,4150, 04910;;;;9q34;9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCN2A;HS051913;0.0418;1315;489;0;573;157;16648;6326;0005887,14704,33268,33270,30315,1518,5248,6915, 0042552;;;;;2q24.3;2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACNA1A;HS053532;0.0411;6210;627;0;2235;205;16648;773;0042995,5737,30425,16021,43025,5634,5886,5891,8331,46872,19905,5245,7628,48266,17156,48791,8219,16049,30644,21679,21702,21590,48813,7204,6112,14051,7214,6006,42445,51899,50883,32353,43524,50885,7274,42133,43113,14056,50770,17158,50796,60024,44281,21522,96,7416,7268,35249, 0021750;04010,4020,4723,4727,4730,4725,4742,4728,4721,4726,4930,5032,5033, 04724;;;;19p13;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
