Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
TAC1;HS052857;0.8493;68394;2;0;24786;2;9;6863;0030424, 0005615, 0043025, 0005886, 0008306, 0007267, 0009582, 0007204, 0006954, 0007320, 0007616, 0010459, 0007218, 0045760, 0002675, 2000854, 0010634, 0050671, 0035815, 0046878, 0051496, 0032224, 0032230, 0008217, 0009725, 0032496, 0043278, 0048265, 0019233, 0007268, 0007217;04080;;;;7q21-q22;7
SLC3A1;HS052488;0.7571;1522;1;0;622;1;9;6519;0005887, 0005743, 0005774, 0015174, 0003824, 0043169, 0015184, 0005975, 0006520;04974;;;;2p16.3;2
SLC6A1;HS052513;0.7397;2283;1;0;727;1;9;6529;0030424, 0009986, 0016021, 0005887, 0005886, 0005332, 0005328, 0051939, 0007612, 0032229, 0007269, 0014054, 0051260, 0051592, 0042220, 0032355, 0010288, 0014074, 0009744, 0009636, 0055085;04727;;;;3p25.3;3
FMR1;HS043936;0.7183;5319;8;0;882;1;9;2332;0005737, 0010494, 0043198, 0043197, 0005845, 0071598, 0005730, 0005654, 0045202, 0003729, 0007417, 0051028, 0045947;03013;;;;Xq27.3;X
AES;HS042544;0.6753;2910;11;0;1299;1;9;166;0005634, 0003714, 0031668, 0090090, 0032091, 0060761, 0000122, 0009887, 2000210, 0040008, 0070555, 0001501, 0006351, 0016055;;;;;19p13.3;19
PER2;HS055689;0.5604;8444;3;0;3653;1;9;8864;0005634, 0048471, 0000988, 0004871, 0007623, 0000122, 0006351;04713, 04710, 05202, 05168;;;;2q37.3;2
CALCOCO2;HS039624;0.5162;8580;1;0;5434;1;9;10241;0005856, 0005794, 0005634, 0048471, 0034341, 0016032;;;;;17q21.32;17
VIP;HS053356;0.4139;56147;9;0;13645;1;9;7432;0005576, 0043025, 0005184, 0007589, 0007611, 0043066, 0043267, 0048662, 0010579, 0008284, 0001938, 0045732, 0045909, 0032880, 0051930, 0009966;04080;;;;6q25;6
CALCA;HS085799;0.3309;91101;1;0;28803;1;9;796;0005737, 0005615, 0032403, 0005102, 0007190, 0007267, 0051482, 0043542, 0001935, 0002031, 0007159, 0045776, 0045779, 0010523, 0045671, 0001976, 0032730, 0032757, 0045651, 0045909, 0006468, 0008217, 0001944, 0043025, 0005634, 0043195, 0032147, 0007189, 0007568, 0050965, 0007566, 0007631, 0006954, 0002548, 0031645, 0030279, 0045986, 0045892, 0007218, 0045762, 0045778, 0002027, 0050727, 0009408, 0048265, 0001984;04270;;;;11p15.2;11
INS;HS046933;0.3157;925549;3;0;273579;2;9;3630;0005788, 0031904, 0005615, 0005796, 0034774, 0005179, 0005158, 0032148, 0006953, 0046631, 0007267, 0044267, 0031018, 0006112, 0055089, 0007186, 0042593, 0006006, 0015758, 0008286, 0000165, 0002674, 0045922, 2000252, 0045721, 0045818, 1902176, 0050995, 0033861, 0042177, 0032460, 0050709, 0045861, 0060266, 0045908, 0090336, 0030307, 0030335, 0008284, 0050715, 0045740, 0046326, 0045725, 0045821, 0046628, 0046889, 0043410, 0045840, 0051092, 0045429, 0051000, 0090277, 0050731, 0014068, 0031954, 0051897, 0060267, 0045909, 0006521, 0050796, 0022898, 0044281, 0042060;04114, 04150, 04151, 04014, 04911, 04914, 04940, 04930, 04066, 04810, 04140, 04015, 04910, 04950, 04932, 05215, 04917, 04913, 04960;;;;11p15.5;11
