Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CA2;HS053466;0.9344;8484;15;0;3653;7;41;760;0045177, 0030424, 0016323, 0005829, 0005615, 0005902, 0005886, 0004089, 0008270, 0038166, 0015701, 0015670, 0001822, 0002009, 0042475, 0006730, 0045780, 0032849, 2001150, 0045672, 0044070, 0051453, 0043627, 0009268, 0006950, 0010043, 0046903, 0044281;04964, 04966, 04971, 04972, 00910, 04976;;;;8q22;8
GNAQ;HS045285;0.5543;4188;8;0;1694;4;41;2776;0005834, 0005765, 0031965, 0031683, 0001664, 0005525, 0005096, 0003924, 0046872, 0004871, 0007202, 0007189, 0007610, 0048066, 0042733, 0021884, 0007215, 0007507, 0006469, 0016322, 0060158, 0030168, 0009791, 0050821, 0001508, 0035412, 0045634, 0001501;04540, 04713, 04916, 04915, 04270, 04912, 04730, 04724, 04971, 04970, 04972, 04015, 05143, 04725, 04726, 04911, 04261, 04020, 04723, 04720, 05010, 04961, 04918, 05142, 05146, 04728, 05016;;;;9q21;9
AQP4;HS046916;0.3631;11476;3;0;2609;3;41;361;0016323, 0005911, 0005737, 0009897, 0005887, 0043234, 0030315, 0015288, 0015250, 0015670, 0071392, 0071346, 0007588, 0007565, 0042538, 0050891, 0007399, 0051260, 0070295, 0051384, 0009314, 0007605;04962, 04976;;;;18q11.2-q12.1;18
UROD;HS053323;0.2804;2800;3;0;792;2;41;7389;0005829, 0015630, 0005634, 0004853, 0006783, 0006782, 0044281;01100, 00860;;;;1p34;1
CA1;HS053459;0.2367;4196;4;0;1942;2;41;759;0005829, 0005794, 0004089, 0008270, 0015701, 0006730, 0044281;00910;;;;8q21.2;8
ERCC8;HS040713;0.2031;85;2;0;30;1;41;1161;0031464, 0016363, 0005654, 0000109, 0032403, 0045739, 0043161, 0051865, 0000209, 0006979, 0009411, 0010165, 0006283;04120, 03420;;;;5q12.1;5
TSEN54;HS045460;0.2016;91;1;0;32;1;41;283989;0005730, 0006397, 0006388;;;;;17q25.1;17
PLA2G1B;HS049384;0.1764;276;1;0;90;1;41;5319;0009986, 0005615, 0030141, 0032052, 0005509, 0047498, 0005102, 0007015, 0000187, 0032431, 0050482, 0032869, 0015758, 0032637, 0007243, 0019370, 0044240, 0030593, 0002446, 0006654, 0036151, 0036152, 0036148, 0036149, 0036150, 0010524, 0045740, 0048146, 0050778, 0051092, 0050714, 0045944;00592, 00564, 01100, 04014, 04270, 04972, 00591, 04975, 00590, 00565;;;;12q24.31;12
AZI1;HS043659;0.1719;415;1;0;108;1;41;22994;0005813, 0005829, 0043231, 0030154, 0000086, 0007275, 0007283;;;;;17q25.3;17
CNR1;HS041138;0.1691;25731;4;0;7763;2;41;1268;0005887, 0004949, 0008144, 0007188, 0007568, 0007610, 0060135, 0007613, 0045759, 0045776, 0033602, 0031999, 0033004, 0051001, 0002866, 0043065, 0045777, 0031622, 0010976, 0060259, 0050796, 0060405, 0032228, 0051966, 0042220, 0045471, 0032496, 0043278, 0035094, 0007584, 0006950, 0019233, 0007283;04723, 04080, 04015;;;;6q14-q15;6
CA7;HS053490;0.1651;279;1;0;143;1;41;766;0005829, 0004089, 0008270, 0015701, 0006730, 0044281;00910;;;;16q22.1;16
VRK1;HS053363;0.1639;638;1;0;150;1;41;7443;0005829, 0005795, 0005730, 0005654, 0005819, 0005524, 0004674, 0051301, 0090166, 0007067, 0007077, 0007084, 0046777;;;;;14q32;14
CASK;HS055468;0.1606;753;9;0;172;1;41;8573;0015629, 0005604, 0016323, 0005911, 0060170, 0005737, 0005829, 0005652, 0016363, 0005730, 0042734, 0005524, 0004385, 0004674, 0070509, 0007155, 0030198, 0001953, 0090288, 0010839, 0061045, 0090280, 0045944;04530;;;;Xp11.4;X
SRD5A3;HS053851;0.1606;368;2;0;172;1;41;79644;0005789, 0016021, 0003865, 0047751, 0016628, 0006702, 0019348, 0006488, 0016095, 0006486;00140;;;;4q12;4
ZMPSTE24;HS039651;0.1596;663;2;0;179;1;41;10269;0005789, 0016021, 0005637, 0046872, 0004222, 0008235, 0071586, 0006998, 0030327, 0006508;00900;;;;1p34;1
PMM2;HS049458;0.1548;644;1;0;218;1;41;5373;0005829, 0043025, 0004615, 0006488, 0009298, 0019307, 0043687, 0018279;00051, 00520, 01100;;;;16p13;16
CA12;HS053523;0.1476;809;1;0;292;1;41;771;0016021, 0005886, 0004089, 0008270, 0015701, 0006730, 0044281;00910;;;;15q22;15
TRIP13;HS056351;0.1470;698;1;0;300;1;41;9319;0001673, 0005634, 0005524, 0017111, 0003712, 0006302, 0007144, 0007141, 0001556, 0048477, 0007131, 0007286, 0007283, 0007130, 0006366;;;;;5p15.33;5
CREBBP;HS041557;0.1460;899;3;0;312;1;41;1387;0000940, 0005737, 0000123, 0016604, 0000790, 0005667, 0003682, 0000987, 0004402, 0043426, 0001102, 0001078, 0001105, 0001191, 0004871, 0008270, 0044255, 0042733, 0030718, 0042592, 0045087, 0019048, 0018076, 0007219, 0032481, 0006461, 0008589, 0061418, 0044281, 0006367;04520, 04630, 05152, 05164, 04350, 05168, 05169, 05016, 05200, 05203, 04916, 04330, 04110, 04066, 05166, 05161, 05211, 05206, 04720, 05215, 04310;;;;16p13.3;16
SLC4A4;HS055536;0.1336;1459;3;0;519;1;41;8671;0016323, 0005887, 0005452, 0008510;04964, 04976, 04972;;;;4q21;4
SCN1A;HS051911;0.1222;2847;2;0;829;1;41;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
ARR3;HS047814;0.1194;1475;1;0;928;1;41;407;0005737, 0001750, 0045202, 0006897, 0001932, 0007165, 0007601;;;;;Xcen-q21;X
AQP3;HS046901;0.1165;3850;1;0;1045;1;41;360;0016323, 0005911, 0005737, 0016021, 0005886, 0015254, 0015250, 0007588, 0042476, 0002684, 0045616, 0070295, 0051592, 0032526, 0033280, 0015840;04962;;;;9p13;9
RPE;HS051750;0.1127;2478;1;0;1225;1;41;6120;0005829, 0043231, 0046872, 0048029, 0004750, 0006098, 0009052;00030, 00040, 01200, 01230, 01100;;;;2q32-q33.3;2
CHRDL1;HS056154;0.1117;2924;4;0;1276;1;41;91851;0005576, 0030509, 0030154, 0048749, 0007399, 0001503;;;;;Xq23;X
SLC1A3;HS052462;0.1117;3908;6;0;1277;1;41;6507;0042995, 0009986, 0043205, 0016021, 0043025, 0005886, 0016595, 0005314, 0005313, 0017153, 0031223, 0048667, 0021545, 0070779, 0009449, 0006537, 0051938, 0050885, 0001504, 0050806, 0046677, 0042493, 0009416, 0009611, 0007605;04724;;;;5p13;5
PLXNA2;HS049443;0.1093;2954;1;0;1405;1;41;5362;0005887, 0005622, 0002116, 0017154, 0007411, 0051642, 0021935, 0060174, 0021915, 0060037, 0030334, 0001756;04360;;;;1q32.2;1
GUK1;HS046000;0.1083;2053;1;0;1468;1;41;2987;0005829, 0005524, 0004385, 0017144, 0015949, 0006163;00230, 01100;;;;1q32-q41;1
PLA2G2A;HS049385;0.1079;5486;2;0;1492;1;41;5320;0005789, 0005615, 0030141, 0005509, 0047498, 0005543, 0050830, 0016042, 0034374, 0006654, 0036151, 0036152, 0036148, 0036149, 0036150, 0050729, 0010744;00565, 00592, 01100, 04014, 04972, 00564, 04975, 04270, 00590, 00591;;;;1p35;1
CA9;HS053497;0.1065;6230;3;0;1575;1;41;768;0016021, 0031528, 0005730, 0005886, 0004089, 0008270, 0015701, 0002009, 0006730, 0061418, 0046903, 0044281;00910;;;;9p13.3;9
MTR;HS038568;0.1028;4607;1;0;1837;1;41;4548;0005829, 0031419, 0008898, 0008705, 0008270, 0034641, 0009235, 0032259, 0007399, 0042558, 0000096, 0006805;00670, 00450, 01230, 01100, 00270;;;;1q43;1
CBS;HS055596;0.1023;6256;1;0;1875;1;41;875;0005829, 0005730, 0030554, 0004122, 0020037, 0046872, 0072341, 0042803, 0030170, 0001974, 0060351, 0034641, 0071456, 0021587, 0006535, 0019343, 0001958, 0043418, 0070814, 0019448, 0006565, 0060135, 0043066, 0050880, 0030823, 0043506, 0051593, 0006801, 0019346;00270, 01100, 00260, 01230;;;;21q22.3;21
