Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
KCNQ1;HS047152;0.2395;6550;159;0;1869;51;1042;3784;0016323, 0005769, 0005770, 0005764, 0042383, 0008076, 0042589, 0005516, 0005251, 0015271, 0034236, 0034237, 0008157, 0086089, 1902282, 0060048, 0072358, 0071320, 0035690, 0071872, 0016458, 0046676, 1901381, 0071435, 0060372, 0006349, 0086091, 0060307, 0007605, 0007268;04971, 04974, 04725, 05110, 04261, 04972;;;;11p15.5;11
KCNH2;HS047109;0.2027;12313;141;0;2882;48;1042;3757;0009986, 0005737, 0005635, 0008076, 0005251, 0005242, 0000155, 1902282, 0060048, 0035690, 0086010, 1902303, 1901381, 0071435, 0055075, 0086091, 0003064, 0060307, 0023014, 0007268;;;;;7q36.1;7
SCN5A;HS081918;0.1987;4793;103;0;1703;43;1042;6331;0005901, 0009986, 0005783, 0014704, 0016328, 0030315, 0001518, 0030506, 0086006, 0086067, 0003360, 0086069, 0060048, 0003231, 0071277, 0021549, 0086046, 0042475, 0045760, 0050679, 0010765, 0060371, 0060372, 0086091, 1902305, 0086005, 0060373, 0060307, 0014894, 0021537;04261;;;;3p21;3
KCNE1;HS9090585;0.1089;2544;64;0;811;23;1042;3753;0016324, 0009986, 0005764, 0008076, 0030018, 0005251, 0015459, 0071320, 0002070, 0060047, 1901381, 0071435, 0006487, 0006493, 1902259, 0086091, 0086005, 0060307, 0007605, 0016021;04261;;;;21q22.12;21
ZEB2;HS039392;0.1035;2015;77;0;604;21;1042;9839;0005737, 0005730, 0046872, 0019208, 0043565, 0003700, 0046332, 0021846, 0021766, 0007399, 0001755, 0001843, 0043507, 0030177, 0001756, 0006351;05206;;;;2q22.3;2
KCNQ2;HS047155;0.0540;1964;39;0;541;12;1042;3785;0043194, 0033268, 0008076, 0005251, 0007411, 0007268;04725;;;;20q13.3;20
SCN1A;HS051911;0.0491;2847;17;0;829;12;1042;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
KCNE2;HS056973;0.0437;841;11;0;278;9;1042;9992;0009986, 0005764, 0008076, 0044325, 0015459, 1902282, 0034613, 0035690, 1901800, 0071435, 0010107, 1902259, 0086091, 1901979, 0060307;04971;;;;21q22.12;21
KCNQ3;HS047156;0.0429;839;21;0;307;9;1042;3786;0043194, 0033268, 0008076, 0005251, 0007411, 0060081, 0007268;04725;;;;8q24;8
SCN4A;HS051916;0.0427;1482;16;0;574;10;1042;6329;0005887, 0001518, 0005248, 0006936;;;;;17q23.3;17
NPTX2;HS048486;0.0398;1054;11;0;440;9;1042;4885;0005576, 0046872, 0007268;;;;;7q21.3-q22.1;7
ENO2;HS043061;0.0392;18935;63;0;7505;17;1042;2026;0005829, 0043204, 0000015, 0001917, 0005886, 0000287, 0004634, 0006094, 0006096, 0044281;01230, 04066, 03018, 00010, 01100, 01200;;;;12p13;12
PIK3C2A;HS049356;0.0358;2954;24;0;1817;11;1042;5286;0030136, 0005794, 0005634, 0005942, 0005886, 0031982, 0016303, 0035005, 0005524, 0035091, 0048268, 0006897, 0007173, 0006887, 0008286, 0048015, 0048008, 0044281, 0014829;01100, 04070, 00562;;;;11p15.5-p14;11
KCNQ4;HS056057;0.0342;786;15;0;212;7;1042;9132;0009925, 0005886, 0008076, 0005251, 0042472, 0007605, 0007268;04725;;;;1p34;1
SLITRK1;HS040601;0.0326;857;28;0;268;7;1042;114798;0016021, 0030534, 0007409, 0042592, 0035264;;;;;13q31.1;13
SCN2A;HS051913;0.0324;1315;20;0;573;8;1042;6326;0005887, 0014704, 0033268, 0033270, 0030315, 0001518, 0005248, 0006915, 0042552;;;;;2q24.3;2
NLRP6;HS042661;0.0318;2667;18;0;1113;9;1042;171389;0005737, 0031965, 0005886, 0005524, 0005000, 0050727;;;;;11p15;11
GOLPH3;HS052045;0.0291;2288;22;0;888;8;1042;64083;0005829, 0005768, 0031985, 0032580, 0005758, 0005739, 0031965, 0005886, 0005802, 0070273, 0060352, 0008283, 0010467, 0009101, 0007030, 0043001, 0048194, 0030032, 0050901, 0050714, 0032008, 0045053, 0009306, 0010821;05202;;;;5p13.3;5
SCN1B;HS051912;0.0286;421;27;0;203;6;1042;6324;0005576, 0014704, 0033268, 0030315, 0001518, 0019871, 0005248, 0086062, 0060048, 0007155, 0021966, 0019227, 0010976, 0010765, 0060371, 0086002, 0086091, 2000649, 0060307, 0046684, 0007268;04261;;;;19q13.1;19
