Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
EPO;HS043128;0.4396;101949;260;0;27838;62;454;2056;0009986, 0005615, 0030295, 0007568, 0006915, 0008015, 0071474, 0007566, 0043249, 0042541, 0010523, 2001258, 1902251, 1902219, 0018105, 0008284, 0045740, 0045666, 0046579, 0045893, 0042523, 0061418, 0048678, 0051602, 0043627, 0055093, 0070555, 0032496, 0009651, 0033574, 0033189, 0007165;04060, 04151, 04066, 04630, 04640;;;;7q22;7
REN;HS051624;0.1671;99990;59;0;37194;33;454;5972;0005615, 0005622, 0005886, 0004190, 0002003, 0050435, 0048469, 0044267, 0035690, 0042756, 0009755, 0001822, 0008584, 0001823, 0006508, 0043408, 0002018, 0051591, 0070305, 0032496, 0006950;04614;;;;1q32;1
POMC;HS049577;0.0946;173484;87;0;67740;28;454;5443;0005615, 0005782, 0034774, 0005179, 0070996, 0007267, 0033059, 0044267, 0006091, 0032720, 0007218, 0016486, 0045944, 0032098, 0008217, 0007165;04920, 04916, 04080;;;;2p23.3;2
AGT;HS042770;0.0765;209805;42;0;63404;24;454;183;0005615, 0010698, 0008083, 0005179, 0004867, 0007250, 0007202, 0007568, 0002003, 0001998, 0003051, 0014824, 0048143, 0001568, 0001974, 0001658, 0035411, 0061049, 0007267, 0007160, 0044255, 0044267, 0071260, 0006883, 0050663, 0070371, 0008065, 0007588, 0030198, 0048144, 0007199, 0001822, 0034374, 0030308, 0008285, 0043524, 0051387, 0034104, 0007263, 0001543, 0030432, 0007200, 0010535, 0090190, 0010613, 0010873, 0001819, 0010595, 0045742, 0003331, 2001238, 0045723, 0048146, 0050729, 0010744, 0043410, 0040018, 0033864, 0051092, 0046622, 0014068, 0061098, 2000379, 0035815, 0032930, 0045893, 0002034, 0051924, 0001558, 0048169, 0014061, 0030162, 0002019, 0035813, 0019229, 0001999, 0002018, 0009409, 0014873, 0009651, 0044281, 0051145, 0048659, 0051403, 0042311;04270, 05410, 04614;;;;1q42.2;1
AVP;HS050003;0.0570;119445;29;0;35618;16;454;551;0005829, 0030425, 0005576, 0005615, 0030141, 0043027, 0005184, 0004672, 0004871, 0007267, 0007204, 0070371, 0006091, 0007625, 0042538, 0007626, 0002125, 0042711, 0050891, 0043066, 0007621, 0090201, 0051970, 0043084, 0030819, 0030307, 0008284, 0032849, 0010628, 0014049, 0033138, 0031394, 0003084, 0045907, 0070528, 0035813, 0045471, 0035094, 0035176, 0043252, 0055085, 0042310, 0006833;04962, 04080, 04270;;;;20p13;20
HMBS;HS046223;0.0511;3776;7;0;1412;6;454;3145;0005829, 0004418, 0006783, 0018160, 0006782, 0044281;00860, 01100;;;;11q23.3;11
FLT1;HS043845;0.0398;15815;8;0;5950;7;454;2321;0005768, 0005615, 0005794, 0005887, 0005634, 0005524, 0036332, 0036326, 0036327, 0048514, 0030154, 0048598, 0002548, 0001569, 0045766, 0030335, 0008284, 0043406, 0043552, 0014068, 0010863, 0030949, 0046777, 0002040;04066, 04060, 05202, 04144, 04510, 05323, 04014, 04151, 04015;;;;13q12;13
CACNA1D;HS053552;0.0394;1887;8;0;514;4;454;776;0005891, 0030018, 0030506, 0008331, 0046872, 0086059, 0007188, 0007411, 0070509, 0006112, 0086052, 0051928, 0060372, 0086091, 0050796, 1901016, 0007605, 0044281;04723, 04261, 04010, 04912, 05412, 04270, 04713, 04973, 04020, 04728, 04726, 04260, 04725, 04727, 05410, 05010, 04911, 04930, 05414, 05031, 04724;;;;3p14.3;3
SLC26A5;HS047104;0.0298;1463;3;0;368;3;454;375611;0016323, 0016021, 0016328, 0008271, 0008360, 0042391, 0007605, 0008272;;;;;7q22.1;7
ATP6AP2;HS039549;0.0287;1015;7;0;438;3;454;10159;0044297, 0009897, 0016021, 0043005, 0004190, 0004872, 0002003, 0044267, 0032914, 0043408;;;;;Xp11.4;X
