Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
ZEB2;HS039392;0.9476;2015;126;0;604;33;245;9839;0005737, 0005730, 0046872, 0019208, 0043565, 0003700, 0046332, 0021846, 0021766, 0007399, 0001755, 0001843, 0043507, 0030177, 0001756, 0006351;05206;;;;2q22.3;2
TGM2;HS053008;0.1109;9158;10;0;3004;7;245;7052;0005739, 0005886, 0005525, 0046872, 0003810, 0043277, 0001974, 0060445, 0051482, 0018153, 0045785, 0043123, 0050729, 0048661, 0051260, 0060662;05016;;;;20q12;20
TNF;HS053072;0.0451;558309;67;0;184493;17;245;7124;0009897, 0005615, 0005887, 0045121, 0001891, 0055037, 0005125, 0042802, 0044212, 0005164, 0006919, 0000187, 0000185, 0060555, 0019722, 0001775, 0071230, 0071316, 0002439, 0050830, 0048566, 0060664, 0030198, 0008625, 0006006, 0006959, 0007254, 0050901, 0031663, 0000165, 0070265, 0010693, 0061048, 0008285, 0002740, 2001240, 0045599, 0046325, 0044130, 0032715, 0002037, 0050995, 0010888, 0045668, 0043242, 0000122, 0045071, 0009887, 0030316, 0043065, 0060559, 2000343, 0045080, 0002876, 0050715, 0070374, 0031622, 0051798, 0034116, 0002925, 0043123, 0032729, 0032755, 0045416, 0046330, 0043507, 0051044, 0045840, 0071677, 0043525, 0042346, 0051092, 0051533, 0045429, 0045672, 0033138, 0071803, 0043243, 0051897, 2000010, 0048661, 0050806, 0045944, 0045994, 0060557, 0000060, 0043491, 0032800, 0060693, 0051023, 0050796, 0014823, 0042493, 0051384, 0001666, 0009612, 0009651, 0009615, 0030730, 0003009, 0006927, 0033209;04621, 05152, 05143, 05010, 05142, 05161, 04640, 05133, 04380, 05134, 05160, 05164, 05332, 05323, 05166, 05410, 04932, 05146, 05330, 05322, 05140, 05205, 04650, 05321, 04612, 05310, 05414, 04930, 05144, 04664, 05168, 04010, 04060, 04064, 04150, 04210, 04622, 04668, 04620, 05145, 04940, 04350, 05014, 04660, 04920;;;;6p21.3;6
DPYD;HS042745;0.0435;7960;15;0;1794;3;245;1806;0005829, 0051539, 0004158, 0017113, 0050660, 0046872, 0050661, 0042803, 0019483, 0006145, 0006214, 0006210, 0006222, 0006212;01100, 00240, 00770, 00983, 00410;;;;1p22;1
TYMP;HS042810;0.0421;6381;12;0;2004;3;245;1890;0005829, 0004645, 0005161, 0016154, 0009032, 0001525, 0030154, 0006935, 0006260, 0000002, 0006206, 0046135, 0043097, 0006220;00983, 01100, 05219, 00240;;;;22q13.33;22
SLC46A1;HS037901;0.0395;1300;10;0;331;2;245;113235;0016324, 0005737, 0016021, 0005542, 0008517, 0015232, 0006879, 0046655, 0055085;04978, 04977;;;;17q11.2;17
NPTX2;HS048486;0.0371;1054;2;0;440;2;245;4885;0005576, 0046872, 0007268;;;;;7q21.3-q22.1;7
CRP;HS041617;0.0355;175686;29;0;56012;8;245;1401;0005576, 0005615, 0030175, 0030426, 0005739, 0005886, 0015485, 0033265, 0030169, 0046872, 0006953, 0007568, 0071277, 0071333, 0006958, 0050830, 0010888, 0010745, 0008228, 1900006, 0051258, 0045471, 0001666, 0010288, 0042060;;;;;1q23.2;1
CYP2C9;HS042261;0.0345;12394;3;0;3716;3;245;1559;0005789, 0052741, 0018675, 0018676, 0034875, 0008144, 0020037, 0005506, 0008395, 0019373, 0042738, 0016098, 0097267, 0070989, 0008202, 0019627, 0006805;05204, 04726, 00982, 00590, 00591, 00980, 00830;;;;10q24;10
SERPINC1;HS081907;0.0340;20351;14;0;10342;4;245;462;0005615, 0005886, 0008201, 0004867, 0007596, 0050728, 2000266, 0030162, 0007584;04610;;;;1q25.1;1
