Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
HTR1A;HS046400;0.4303;22099;13;0;8228;3;29;3350;0005887, 0004993, 0007198, 0001662, 0008283, 0035640, 0008284, 0050795, 0042053, 0046883, 0014062, 0042428, 0042310;04080, 04726;;;;5q11.2-q13;5
DCX;HS042498;0.3763;3816;3;0;1500;2;29;1641;0005829, 0005874, 0005875, 0043005, 0008017, 0048675, 0007411, 0007420, 0007417, 0021952, 0048813, 0035556, 0001764;;;;;Xq22.3-q23;X
BDNF;HS051865;0.3483;87549;40;0;18189;3;29;627;0005576, 0048471, 0008021, 0008083, 0007411, 0007412, 0001662, 0002544, 0016358, 0007631, 0014047, 0048839, 0007611, 0042490, 0006120, 0007406, 0043524, 0045843, 0021675, 0007399, 0008038, 0048170, 0045666, 0051965, 0060079, 0019222, 0046668, 0048172, 0072347, 0014076, 0009725, 0055093, 0001666, 0033189, 0001657;05030, 05016, 05034, 04722, 04010;;;;11p13;11
GATA3;HS044851;0.3392;7310;3;0;2569;2;29;2625;0000790, 0005730, 0005654, 0000987, 0001046, 0070888, 0001158, 0001078, 0001077, 0000979, 0003713, 0008270, 0003180, 0007411, 0007596, 0061290, 0003215, 0001709, 0048469, 0071773, 0035457, 0071353, 0071356, 0006952, 0048589, 0043583, 0035162, 0030218, 0006959, 0001701, 0042472, 0072643, 0072602, 0002088, 0072676, 0008584, 0060374, 0060231, 0001823, 0045786, 2000146, 2000607, 2000352, 0045599, 2000703, 2000734, 0050728, 0032689, 0032703, 0033600, 0072179, 0001764, 0042421, 0071599, 0060017, 0035898, 0060037, 0014065, 0010595, 0032736, 2000667, 0032753, 0032754, 2000664, 0051897, 0045582, 2000611, 0045944, 2000679, 0072107, 0009791, 0002572, 0043370, 2000683, 0042035, 2000114, 0061085, 0051569, 0072182, 0043523, 0042493, 0043627, 0045471, 0010332, 0009615, 0048485, 0050852, 0045064, 0045061, 0048538, 0031929, 0001806, 0035799, 0060676, 0060065, 0003281;05321;;;;10p15;10
S100B;HS051880;0.2792;25844;2;0;6133;2;29;6285;0005576, 0005615, 0043025, 0005634, 0048471, 0001726, 0005509, 0048306, 0042803, 0048156, 0008270, 0048708, 0007409, 0008283, 0071456, 0007417, 0045087, 0007611, 0060291, 0007613, 2001015, 0043065, 0008284, 0043123, 0008360, 0048168, 0051384, 0051597;;;;;21q22.3;21
HARS;HS046128;0.2690;140;2;0;72;1;29;3035;0005829, 0005524, 0004821, 0006427, 0006418;00970;;;;5q31.3;5
SYN3;HS054547;0.2511;347;1;0;121;1;29;8224;0030054, 0008021, 0030672, 0005524, 0003824, 0008152, 0007269;;;;;22q12.3;22
ENO1;HS043054;0.2494;14232;2;0;9447;2;29;2023;0005829, 0070062, 0031430, 0005634, 0000015, 0005886, 0003677, 0000287, 0004634, 0003700, 0003714, 0006094, 0006096, 0030308, 0000122, 0009615, 0044281, 0006351;03018, 01230, 01200, 01100, 00010, 04066;;;;1p36.2;1
PRL;HS050699;0.2483;168797;13;0;47786;3;29;5617;0005576, 0030141, 0005148, 0008283, 0007623, 0007565, 0060397, 0007595, 0033555, 0042698, 0007567, 0050679, 0046427, 0040014, 0030278, 0042493, 0032355, 0045471, 0032496, 0007584, 0007262;04060, 04917, 04080, 04630, 04151;;;;6p22.3;6
SYN2;HS052849;0.2336;572;1;0;201;1;29;6854;0030054, 0008021, 0005524, 0003824, 0008152, 0007269, 0007268;;;;;3p25;3
TRH;HS053129;0.2126;56817;11;0;16116;2;29;7200;0005576, 0005634, 0005886, 0030141, 0008437, 0007628, 0007267, 0042755, 0009755, 0014050, 0014054, 0032024, 0009409, 0051412, 0045471, 0009749, 0001666, 0007165;04080;;;;3q13.3-q21;3
CCL26;HS039708;0.1985;1461;2;0;555;1;29;10344;0005615, 0008009, 0007267, 0006935, 0006955, 0006954, 0030838, 0030335, 0001938, 0032855, 0007165;04060, 04062;;;;7q11.23;7
TNF;HS053072;0.1845;558309;5;0;184493;4;29;7124;0009897, 0005615, 0005887, 0045121, 0001891, 0055037, 0005125, 0042802, 0044212, 0005164, 0006919, 0000187, 0000185, 0060555, 0019722, 0001775, 0071230, 0071316, 0002439, 0050830, 0048566, 0060664, 0030198, 0008625, 0006006, 0006959, 0007254, 0050901, 0031663, 0000165, 0070265, 0010693, 0061048, 0008285, 0002740, 2001240, 0045599, 0046325, 0044130, 0032715, 0002037, 0050995, 0010888, 0045668, 0043242, 0000122, 0045071, 0009887, 0030316, 0043065, 0060559, 2000343, 0045080, 0002876, 0050715, 0070374, 0031622, 0051798, 0034116, 0002925, 0043123, 0032729, 0032755, 0045416, 0046330, 0043507, 0051044, 0045840, 0071677, 0043525, 0042346, 0051092, 0051533, 0045429, 0045672, 0033138, 0071803, 0043243, 0051897, 2000010, 0048661, 0050806, 0045944, 0045994, 0060557, 0000060, 0043491, 0032800, 0060693, 0051023, 0050796, 0014823, 0042493, 0051384, 0001666, 0009612, 0009651, 0009615, 0030730, 0003009, 0006927, 0033209;04621, 05152, 05143, 05010, 05142, 05161, 04640, 05133, 04380, 05134, 05160, 05164, 05332, 05323, 05166, 05410, 04932, 05146, 05330, 05322, 05140, 05205, 04650, 05321, 04612, 05310, 05414, 04930, 05144, 04664, 05168, 04010, 04060, 04064, 04150, 04210, 04622, 04668, 04620, 05145, 04940, 04350, 05014, 04660, 04920;;;;6p21.3;6
IL16;HS046909;0.1826;3775;1;0;882;1;29;3603;0005737, 0005615, 0005634, 0005886, 0006955, 0050930, 0030595, 0019048, 0006355, 0006351;;;;;15q26.3;15
GOLPH3;HS052045;0.1823;2288;2;0;888;1;29;64083;0005829, 0005768, 0031985, 0032580, 0005758, 0005739, 0031965, 0005886, 0005802, 0070273, 0060352, 0008283, 0010467, 0009101, 0007030, 0043001, 0048194, 0030032, 0050901, 0050714, 0032008, 0045053, 0009306, 0010821;05202;;;;5p13.3;5
