Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CACNA1A;HS053532;1.1509;6210;423;0;2235;128;675;773;0042995, 0005737, 0030425, 0016021, 0043025, 0005634, 0005886, 0005891, 0008331, 0046872, 0019905, 0005245, 0007628, 0048266, 0017156, 0048791, 0008219, 0016049, 0030644, 0021679, 0021702, 0021590, 0048813, 0007204, 0006112, 0014051, 0007214, 0006006, 0042445, 0051899, 0050883, 0032353, 0043524, 0050885, 0007274, 0042133, 0043113, 0014056, 0050770, 0017158, 0050796, 0060024, 0044281, 0021522, 0000096, 0007416, 0007268, 0035249, 0021750;04010, 04020, 04723, 04727, 04730, 04725, 04742, 04728, 04721, 04726, 04930, 05032, 05033, 04724;;;;19p13;19
ATP1A2;HS048396;0.7688;573;191;0;249;68;675;477;0005901, 0005737, 0043197, 0005768, 0005890, 0045202, 0030315, 0005524, 0046872, 0005391, 0008344, 0006754, 0015991, 0071260, 0040011, 0045822, 0045988, 0001504, 0051481, 0008217, 0086004, 0002087, 0006940, 0006942, 0002026, 0019229, 0035094, 0008542;04971, 04961, 04976, 04978, 04964, 04973, 04970, 04974, 04911, 04918, 04972, 04260, 04261, 04960;;;;1q23.2;1
SCN1A;HS051911;0.3597;2847;141;0;829;41;675;6323;0043194, 0016021, 0014704, 0043025, 0033268, 0030315, 0001518, 0030018, 0005248, 0007628, 0050884, 0019227, 0019228;04728;;;;2q24.3;2
PRRT2;HS040421;0.2156;735;146;0;155;21;675;112476;0030054, 0016021, 0005886, 0045202, 0009607;;;;;16p11.2;16
GOLPH3;HS052045;0.2079;2288;54;0;888;26;675;64083;0005829, 0005768, 0031985, 0032580, 0005758, 0005739, 0031965, 0005886, 0005802, 0070273, 0060352, 0008283, 0010467, 0009101, 0007030, 0043001, 0048194, 0030032, 0050901, 0050714, 0032008, 0045053, 0009306, 0010821;05202;;;;5p13.3;5
CALCA;HS085799;0.1645;91101;170;0;28803;45;675;796;0005737, 0005615, 0032403, 0005102, 0007190, 0007267, 0051482, 0043542, 0001935, 0002031, 0007159, 0045776, 0045779, 0010523, 0045671, 0001976, 0032730, 0032757, 0045651, 0045909, 0006468, 0008217, 0001944, 0043025, 0005634, 0043195, 0032147, 0007189, 0007568, 0050965, 0007566, 0007631, 0006954, 0002548, 0031645, 0030279, 0045986, 0045892, 0007218, 0045762, 0045778, 0002027, 0050727, 0009408, 0048265, 0001984;04270;;;;11p15.2;11
NOTCH3;HS048465;0.1629;3398;43;0;1122;22;675;4854;0005829, 0005789, 0005576, 0000139, 0016021, 0005654, 0005886, 0005509, 0030900, 0072104, 0045665, 0048663, 0007220, 0007219, 0048661, 0006355, 0006367;05206, 04320, 04330;;;;19p13.2-p13.1;19
HTR1B;HS046401;0.1560;7471;40;0;2799;25;675;3351;0005737, 0005887, 0008144, 0051378, 0004993, 0007198, 0046849, 0071312, 0035690, 0071502, 0042756, 0002031, 0030818, 0014063, 0032229, 0051967, 0007205, 0050795, 0014059, 0042220, 0045471, 0051385, 0007268, 0042310;04080, 04726;;;;6q13;6
MTHFR;HS048228;0.1425;22907;118;0;5787;27;675;4524;0005829, 0004489, 0072341, 0008015, 0046655, 0050667, 0009086, 0035999;00670, 01100, 01200;;;;1p36.3;1
POLG;HS049553;0.0498;1157;31;0;433;7;675;5428;0005760, 0005743, 0042645, 0003682, 0003677, 0003887, 0004527, 0007568, 0006287, 0008219, 0006261, 0006264;01100;;;;15q25;15
