Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
TSC1;HS053152;0.4505;4051;736;0;1386;242;3049;7248;0005938, 0030426, 0043231, 0030027, 0016020, 0033596, 0030695, 0032862, 0055007, 0007050, 0030030, 0007160, 0021987, 0021766, 0008286, 0001822, 0042552, 0008285, 0045792, 0032007, 0017148, 0001843, 0051894, 0006813, 0051291, 0050821, 0043666, 0045859, 0051492, 0006407, 0050808;04151, 04150, 04910;;;;9q34;9
TSC2;HS053153;0.4256;6311;786;0;1848;241;3049;7249;0005901, 0030425, 0005794, 0030426, 0016020, 0043025, 0005634, 0048471, 0033596, 0005096, 0019902, 0006953, 0007050, 0030030, 0006897, 0007173, 0038095, 0008543, 0007507, 0045087, 0008286, 0048009, 0008285, 0045792, 0050680, 0043407, 0014067, 0006469, 0051898, 0032007, 0030178, 0001843, 0048011, 0014065, 0048015, 0050918, 0051291, 0051260, 0006606, 0043491, 0030100, 0046626, 0051056, 0001666;04115, 04910, 04151, 04150;;;;16p13.3;16
GFAP;HS045002;0.2201;50568;413;0;21485;232;3049;2670;0097449, 0044297, 0005829, 0005882, 0016020, 0005200, 0014002, 0060020, 0030198, 0045109, 0060291, 0010977, 0031102, 0010625, 0051580, 0009611;;;;;17q21;17
LGI1;HS056194;0.2023;2080;505;0;597;108;3049;9211;0030054, 0005576, 0005615, 0045202, 0007411, 0008283, 0030307, 0050806, 0051260;;;;;10q24;10
KRIT1;HS055711;0.1561;1163;339;0;292;78;3049;889;0005911, 0005737, 0005874, 0005886, 0008017, 0005546, 0005083, 0001525, 0045454, 0016525, 2000352, 0010596, 0001937, 0032092, 2000114, 0007264;04015;;;;7q21.2;7
MTOR;HS044287;0.1147;37955;347;0;14336;129;3049;2475;0012505, 0005789, 0000139, 0005765, 0005741, 0070438, 0005942, 0016605, 0031931, 0031932, 0005524, 0008144, 0004674, 0043022, 0001030, 0001031, 0001032, 0001156, 0016049, 0071456, 0031669, 0007173, 0038095, 0008543, 0007281, 0045087, 0008286, 0010507, 0045792, 0016242, 0051534, 0048011, 0018105, 0018107, 0048015, 0030838, 0001938, 0010592, 0046889, 0010831, 0050731, 0051897, 0001934, 0051496, 0045945, 0045727, 0046777, 0030163, 0032956, 0043610, 0031998, 0005979, 0045859, 0032314, 0032095, 0043200, 0007584, 0031529, 0031295, 0031929;04920, 04151, 04910, 05214, 04012, 04930, 04066, 05206, 05215, 05200, 05205, 04150, 05221;;;;1p36.2;1
CCM2;HS054654;0.1046;472;150;0;164;51;3049;83605;0005737, 0043234, 0060837, 0045216, 0001885, 0061154, 0001701, 0048839, 0007229, 0035264, 0060039, 0051403, 0001570, 0048845;;;;;7p13;7
PDCD10;HS040408;0.0934;716;156;0;184;47;3049;11235;0005829, 0000139, 0005886, 0001525, 0006915, 0043066, 0008284, 0043406;;;;;3q26.1;3
SYP;HS052850;0.0563;12929;76;0;6905;63;3049;6855;0030054, 0060076, 0030285, 0044306, 0048786, 0042734, 0043234, 0005509, 0015485, 0005215, 0071310, 0048169, 2000474, 0048172, 0016188, 0048499;;;;;Xp11.23-p11.22;X
IDH1;HS046601;0.0530;6116;111;0;1682;43;3049;3417;0005829, 0005739, 0005782, 0004450, 0000287, 0051287, 0050661, 0006103, 0044255, 0008585, 0006749, 0006097, 0006102, 0006740, 0006979, 0048545, 0006099;00020, 01200, 00480, 01100, 01210, 04146, 01230;;;;2q33.3;2
