Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
MAOB;HS047866;0.2206;7744;29;0;3020;12;241;4129;0016021, 0005743, 0005741, 0009055, 0050660, 0008131, 0014063, 0045964, 0010044, 0051412, 0042493, 0045471, 0032496, 0010269, 0009636, 0044281, 0006805;00260, 00330, 00360, 00982, 01100, 05030, 04728, 00350, 04726, 05031, 05034, 00380, 00340;;;;Xp11.23;X
TH;HS053010;0.0969;57027;17;0;20441;10;241;7054;0005829, 0030425, 0009898, 0033162, 0005739, 0043005, 0005634, 0043204, 0005790, 0008021, 0043195, 0016597, 0035240, 0008199, 0008198, 0019825, 0034617, 0004511, 0034641, 0035690, 0071333, 0071363, 0071287, 0071316, 0021987, 0042745, 0006585, 0042755, 0048596, 0042418, 0042462, 0006631, 0016137, 0003007, 0033076, 0007612, 0007626, 0007617, 0007613, 0010259, 0042136, 0042421, 0018963, 0052314, 0043473, 0008016, 0014823, 0001975, 0051412, 0051602, 0032355, 0045471, 0045472, 0009635, 0001666, 0009416, 0032496, 0031667, 0043434, 0046684, 0009651, 0009414, 0010043, 0007605, 0035176, 0006665, 0001963, 0015842, 0042214, 0007601;00350, 04728, 04917, 05012, 01100, 05030, 05031, 05034;;;;11p15.5;11
ABAT;HS042739;0.0861;3739;6;0;1670;5;241;18;0032144, 0005759, 0043005, 0047298, 0003867, 0030170, 0032145, 0048148, 0007620, 0009450, 0007626, 0045776, 0042135, 0007269, 0042493, 0045471, 0001666, 0010039, 0035094;00650, 00250, 04727, 00280, 00640, 00410, 01100;;;;16p13.2;16
GRM5;HS038285;0.0836;5895;28;0;1877;5;241;2915;0005737, 0043198, 0043197, 0005887, 0014069, 0004930, 0008066, 0000185, 0002029, 0007612, 0007626, 0040013, 0007206, 0048170, 0007205, 0006468, 0006355, 0007268;04020, 04080, 04724, 05016, 04723, 04720, 04540;;;;11q14.3;11
No mapping: HS040765;HS040765;0.0793;12;11;0;3;2;241;;;;;;;null;null
GLUL;HS045272;0.0679;25431;9;0;14293;7;241;2752;0043679, 0005829, 0005739, 0043204, 0043234, 0005791, 0005524, 0016595, 0004351, 0004356, 0000287, 0030145, 0008283, 0034641, 0006538, 0006542, 0001504, 0050679, 0032024, 0051968, 0051260, 0009749;00250, 00630, 00330, 01100, 00910, 04727, 01230, 04724;;;;1q31;1
ABCB1;HS049322;0.0667;98709;66;0;22711;8;241;5243;0016324, 0009986, 0000139, 0016021, 0046581, 0005524, 0042626, 0008559, 0006855, 0000086, 0072089;02010, 04976, 05206;;;;7q21.12;7
SLC1A2;HS052459;0.0645;6312;22;0;1733;4;241;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
AQP4;HS046916;0.0577;11476;26;0;2609;4;241;361;0016323, 0005911, 0005737, 0009897, 0005887, 0043234, 0030315, 0015288, 0015250, 0015670, 0071392, 0071346, 0007588, 0007565, 0042538, 0050891, 0007399, 0051260, 0070295, 0051384, 0009314, 0007605;04962, 04976;;;;18q11.2-q12.1;18
CHAT;HS040238;0.0491;27058;6;0;9903;5;241;1103;0030424, 0005829, 0005739, 0043025, 0005634, 0004102, 0007628, 0016358, 0007529, 0007517, 0007274, 0042136, 0007269, 0006656, 0007622, 0043179;00564, 04725;;;;10q11.2;10
