Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
OPRD1;HS048570;0.6613;6082;2;0;3211;2;16;4985;0043679, 0005737, 0032590, 0005887, 0045121, 0045211, 0031982, 0038046, 0007193, 0008344, 0071363, 0007187, 0006955, 0007218, 0007200, 0000060, 0051924, 0051930;04080;;;;1p36.1-p34.3;1
CA8;HS053491;0.4484;505;1;0;244;1;16;767;0005737, 0004089, 0008270, 0006730, 0048015;00910;;;;8q12.1;8
HRH4;HS051587;0.4253;1071;1;0;353;1;16;59340;0016021, 0005886, 0004969, 0007204, 0006954, 0043408;04080;;;;18q11.2;18
RTN4R;HS052463;0.3904;1919;1;0;617;1;16;65078;0031225, 0009986, 0005783, 0005886, 0004872, 0007409, 0050771, 0048011;;;;;22q11.21;22
HRH3;HS040431;0.3753;1626;2;0;785;1;16;11255;0005887, 0004969, 0007187, 0007269;04080;;;;20q13.33;20
TP53INP2;HS051454;0.3555;3016;3;0;1078;1;16;58476;0005776, 0031410, 0005829, 0005634, 0016605, 0000045, 0001649, 0010508, 0045893;;;;;20q11.22;20
CTH;HS042016;0.3421;2622;1;0;1337;1;16;1491;0005829, 0005634, 0004123, 0047982, 0080146, 0044540, 0030170, 0034641, 0019344, 0030968, 0070814, 0043066, 0043123, 0051092, 0051289, 0044524, 0018272, 0000098, 0019346;01230, 00260, 00270, 00450, 01100;;;;1p31.1;1
HRH1;HS046343;0.3348;2953;1;0;1503;1;16;3269;0005737, 0005887, 0005634, 0004969, 0071420, 0048245, 0006954, 0048016, 0007613, 0007200, 0032962, 0045907, 0048167, 0043114, 0008542;04080, 04020;;;;3p25;3
CBS;HS055596;0.3209;6256;1;0;1875;1;16;875;0005829, 0005730, 0030554, 0004122, 0020037, 0046872, 0072341, 0042803, 0030170, 0001974, 0060351, 0034641, 0071456, 0021587, 0006535, 0019343, 0001958, 0043418, 0070814, 0019448, 0006565, 0060135, 0043066, 0050880, 0030823, 0043506, 0051593, 0006801, 0019346;00270, 01100, 00260, 01230;;;;21q22.3;21
CA1;HS053459;0.3187;4196;1;0;1942;1;16;759;0005829, 0005794, 0004089, 0008270, 0015701, 0006730, 0044281;00910;;;;8q21.2;8
CYP2C19;HS042259;0.2816;11705;1;0;3518;1;16;1557;0005789, 0052741, 0018675, 0018676, 0020037, 0005506, 0019825, 0008395, 0019373, 0042738, 0046483, 0016098, 0097267, 0008202, 0006805;00591, 04726, 05204, 00590, 00982;;;;10q24;10
