Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
No mapping: HS041629;HS041629;0.6214;7;6;0;2;1;19;;;;;;;null;null
PML;HS049456;0.5012;16811;7;0;4590;2;19;5371;0005737, 0005829, 0031901, 0042406, 0016363, 0031965, 0005730, 0005634, 0016605, 0050897, 0003677, 0046982, 0003713, 0008270, 0006919, 0006915, 0060444, 0007050, 0045165, 0071353, 0090398, 0007182, 0051607, 0006977, 0032469, 0060333, 0008630, 0042771, 0051457, 0019048, 0030099, 0016525, 0030308, 0008285, 0045930, 2000059, 0051974, 0032211, 0045892, 0032938, 0030578, 0060058, 0002230, 2001238, 0031065, 0043161, 0006461, 0050821, 0006605, 0010522, 2000779, 0045343, 0001932, 0010332, 0001666, 0009411, 0048384, 0007184, 0006351, 0007179;05168, 05200, 04144, 04120, 05221, 05164, 05202;;;;15q22;15
No mapping: HS053338;HS053338;0.4390;149;1;0;64;1;19;;;;;;;null;null
ZNF135;HS053508;0.3580;588;1;0;298;1;19;7694;0005634, 0003677, 0046872, 0003700, 0007010, 0022604, 0006351;;;;;19q13.4;19
TRNAC1;HS027565;0.3475;692;1;0;364;1;19;7183;;;;;;17q12;17
BTD;HS052853;0.3269;2071;7;0;538;1;19;686;0045177, 0005576, 0005615, 0005730, 0043204, 0004075, 0047708, 0006768, 0007417, 0008544;00780, 04977, 01100;;;;3p25;3
PTH;HS051125;0.2805;118719;4;0;37351;2;19;5741;0005576, 0005615, 0005179, 0051428, 0003705, 0007189, 0045453, 0046058, 0007267, 0006874, 0007186, 0008628, 0000122, 0030501, 0030819, 0046326, 0045725, 0009967, 0045944, 0007266, 0001501;04080;;;;11p15.3-p15.1;11
STS;HS047858;0.2803;4365;1;0;1304;1;19;412;0005788, 0005789, 0005768, 0005794, 0016021, 0005764, 0005886, 0046872, 0004773, 0008544, 0007565, 0006687, 0043687, 0044281, 0006706;00140;;;;Xp22.32;X
IFNA13;HS070323;0.2673;114072;6;0;42314;2;19;3439, 3447;0005576, 0005615, 0005132, 0007596, 0051607, 0060338, 0060337;04151, 04630, 05152, 04060, 05161, 05160, 04140, 05164, 05168, 05320, 04622, 05162, 04623, 04650, 04620;;;;9p22;9
SRD5A1;HS052742;0.2524;4898;1;0;2217;1;19;6715;0005789, 0016021, 0003865, 0047751, 0009055, 0006702, 0030154, 0007530, 0007548, 0044281;00140;;;;5p15;5
