Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
KRIT1;HS055711;0.2523;1163;166;0;292;35;904;889;0005911, 0005737, 0005874, 0005886, 0008017, 0005546, 0005083, 0001525, 0045454, 0016525, 2000352, 0010596, 0001937, 0032092, 2000114, 0007264;04015;;;;7q21.2;7
CCM2;HS054654;0.1954;472;99;0;164;26;904;83605;0005737, 0043234, 0060837, 0045216, 0001885, 0061154, 0001701, 0048839, 0007229, 0035264, 0060039, 0051403, 0001570, 0048845;;;;;7p13;7
PDCD10;HS040408;0.1668;716;81;0;184;23;904;11235;0005829, 0000139, 0005886, 0001525, 0006915, 0043066, 0008284, 0043406;;;;;3q26.1;3
PLAT;HS049391;0.1504;57643;149;0;18587;50;904;5327;0045177, 0009986, 0005737, 0005576, 0005615, 0030141, 0045202, 0004252, 0007596, 0006464, 0042730, 0045861, 0031639, 0048008, 0060279, 0006508, 0048167, 0051591, 0051384, 0001666, 0043434, 0014909, 0035249;05202, 04610;;;;8p12;8
NOTCH3;HS048465;0.1272;3398;54;0;1122;24;904;4854;0005829, 0005789, 0005576, 0000139, 0016021, 0005654, 0005886, 0005509, 0030900, 0072104, 0045665, 0048663, 0007220, 0007219, 0048661, 0006355, 0006367;05206, 04320, 04330;;;;19p13.2-p13.1;19
F5;HS043202;0.0920;11801;44;0;4232;24;904;2153;0005576, 0005615, 0005886, 0031093, 0005507, 0008015, 0007155, 0030168, 0002576;04610;;;;1q23;1
MTHFR;HS048228;0.0613;22907;61;0;5787;19;904;4524;0005829, 0004489, 0072341, 0008015, 0046655, 0050667, 0009086, 0035999;00670, 01100, 01200;;;;1p36.3;1
SERPINC1;HS081907;0.0419;20351;24;0;10342;17;904;462;0005615, 0005886, 0008201, 0004867, 0007596, 0050728, 2000266, 0030162, 0007584;04610;;;;1q25.1;1
SLC1A2;HS052459;0.0385;6312;70;0;1733;10;904;6506;0030673, 0016021, 0005886, 0015501, 0005313, 0017153, 0030534, 0031668, 0070779, 0051938, 0035264, 0010259, 0046326, 0043200, 0042493, 0009611, 0007268, 0021537, 0007632;05014, 04724;;;;11p13-p12;11
APP;HS046797;0.0345;135095;45;0;33424;23;904;351;0045177, 0030424, 0009986, 0035253, 0005905, 0005829, 0043198, 0043197, 0005576, 0005794, 0005887, 0031594, 0048471, 0031093, 0051233, 0045202, 0003677, 0008201, 0016504, 0004867, 0046914, 0008344, 0008088, 0016199, 0007155, 0006878, 0008203, 0048669, 0016358, 0006897, 0030198, 0030900, 0045087, 0035235, 0007617, 0000085, 0006378, 0045665, 0050885, 0051402, 0016322, 0007219, 0035872, 0030168, 0002576, 0010971, 0045931, 0045944, 0006468, 0007176, 0040014, 0043393, 0050803, 0006417, 0006979, 0051563, 0001967, 0051124, 0008542;05010, 04726;;;;21q21.3;21
F2;HS043196;0.0314;143254;59;0;61397;29;904;2147;0005788, 0005615, 0005796, 0005886, 0005509, 0008083, 0004252, 0070053, 0006953, 0007597, 0007166, 0051480, 0042730, 0050900, 0048712, 0051918, 0010544, 0045861, 0017187, 0030168, 0030307, 0008284, 0032967, 0014068, 1900738, 0001934, 2000379, 0051281, 0043687, 0006508, 0008360, 0010468;04610, 04810, 04080;;;;11p11;11
AQP4;HS046916;0.0295;11476;73;0;2609;9;904;361;0016323, 0005911, 0005737, 0009897, 0005887, 0043234, 0030315, 0015288, 0015250, 0015670, 0071392, 0071346, 0007588, 0007565, 0042538, 0050891, 0007399, 0051260, 0070295, 0051384, 0009314, 0007605;04962, 04976;;;;18q11.2-q12.1;18
BDNF;HS051865;0.0283;87549;33;0;18189;16;904;627;0005576, 0048471, 0008021, 0008083, 0007411, 0007412, 0001662, 0002544, 0016358, 0007631, 0014047, 0048839, 0007611, 0042490, 0006120, 0007406, 0043524, 0045843, 0021675, 0007399, 0008038, 0048170, 0045666, 0051965, 0060079, 0019222, 0046668, 0048172, 0072347, 0014076, 0009725, 0055093, 0001666, 0033189, 0001657;05030, 05016, 05034, 04722, 04010;;;;11p13;11
No mapping: HS056285;HS056285;0.0281;209;9;0;39;4;904;;;;;;;null;null
GFAP;HS045002;0.0281;50568;36;0;21485;17;904;2670;0097449, 0044297, 0005829, 0005882, 0016020, 0005200, 0014002, 0060020, 0030198, 0045109, 0060291, 0010977, 0031102, 0010625, 0051580, 0009611;;;;;17q21;17
APOH;HS046790;0.0258;5949;9;0;2444;8;904;350;0009986, 0042627, 0034364, 0034361, 0008201, 0060230, 0005543, 0007597, 0016525, 0030195, 0010596, 0001937, 0051918, 0033033, 0034392, 0031639, 0051006, 0006641, 0034197;;;;;17q24.2;17
EPO;HS043128;0.0258;101949;101;0;27838;18;904;2056;0009986, 0005615, 0030295, 0007568, 0006915, 0008015, 0071474, 0007566, 0043249, 0042541, 0010523, 2001258, 1902251, 1902219, 0018105, 0008284, 0045740, 0045666, 0046579, 0045893, 0042523, 0061418, 0048678, 0051602, 0043627, 0055093, 0070555, 0032496, 0009651, 0033574, 0033189, 0007165;04060, 04151, 04066, 04630, 04640;;;;7q22;7
ASIC3;HS039345;0.0246;1232;5;0;332;5;904;9311;0005737, 0005887, 0042931, 0015280, 0005272, 0050968, 0050966, 0050965, 0001101, 0009408, 0007600, 0007165;;;;;7q35;7
RAP1A;HS051546;0.0234;1501;14;0;412;5;904;5906;0030054, 0005829, 0005769, 0032045, 0005770, 0048471, 0005886, 0005525, 0003924, 0032403, 0008565, 0017034, 0000186, 0071320, 0006112, 0061028, 0038180, 0048011, 0030168, 0070374, 0010976, 0032854, 2001214, 0032486, 1901888, 0050796;04062, 04014, 04670, 04010, 04722, 04720, 04972, 04015, 04510, 05211;;;;1p13.3;1
ENO1;HS043054;0.0229;14232;12;0;9447;11;904;2023;0005829, 0070062, 0031430, 0005634, 0000015, 0005886, 0003677, 0000287, 0004634, 0003700, 0003714, 0006094, 0006096, 0030308, 0000122, 0009615, 0044281, 0006351;03018, 01230, 01200, 01100, 00010, 04066;;;;1p36.2;1
