Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
TSHB;HS053156;1.5815;124034;260;0;42624;92;226;7252;0005576, 0005179, 0009653, 0007267, 0044267, 0007186, 0016486, 0051592, 0043627, 0033189;04918, 04080, 05320;;;;1p13;1
TRH;HS053129;0.2569;56817;50;0;16116;18;226;7200;0005576, 0005634, 0005886, 0030141, 0008437, 0007628, 0007267, 0042755, 0009755, 0014050, 0014054, 0032024, 0009409, 0051412, 0045471, 0009749, 0001666, 0007165;04080;;;;3q13.3-q21;3
TG;HS052993;0.2052;35679;29;0;11504;14;226;7038;0005615, 0042446, 0015705, 0031641, 0007165, 0030878, 0006590;05320, 04918;;;;8q24;8
TPO;HS053114;0.1852;9487;12;0;3428;10;226;7173;0009986, 0005887, 0005739, 0005509, 0020037, 0004447, 0004601, 0034641, 0035162, 0042446, 0042744, 0006590;04060, 04640, 05320, 01100, 04630, 00350, 04918;;;;2p25;2
LGI1;HS056194;0.1440;2080;6;0;597;6;226;9211;0030054, 0005576, 0005615, 0045202, 0007411, 0008283, 0030307, 0050806, 0051260;;;;;10q24;10
SERPINA7;HS052899;0.1125;6251;13;0;1957;6;226;6906;0005615, 0042562, 0004867, 0007568, 0009791, 0030162, 0051412, 0042493, 0043434, 0034695, 0033189;;;;;Xq22.2;X
ENO1;HS043054;0.1044;14232;11;0;9447;8;226;2023;0005829, 0070062, 0031430, 0005634, 0000015, 0005886, 0003677, 0000287, 0004634, 0003700, 0003714, 0006094, 0006096, 0030308, 0000122, 0009615, 0044281, 0006351;03018, 01230, 01200, 01100, 00010, 04066;;;;1p36.2;1
CNTNAP2;HS044739;0.0721;886;3;0;296;3;226;26047;0030673, 0009986, 0030425, 0005769, 0005794, 0044224, 0043204, 0008076, 0007155, 0045163, 0007612, 0021761, 0031175, 0008038, 0071205, 0035176, 0021756, 0071109, 0021794, 0019226, 0071625;04514;;;;7q35;7
TSHR;HS053157;0.0711;13704;8;0;4527;5;226;7253;0005887, 0004996, 0007267, 0007187, 0008284;05320, 04080, 04918;;;;14q31;14
GLUL;HS045272;0.0597;25431;6;0;14293;6;226;2752;0043679, 0005829, 0005739, 0043204, 0043234, 0005791, 0005524, 0016595, 0004351, 0004356, 0000287, 0030145, 0008283, 0034641, 0006538, 0006542, 0001504, 0050679, 0032024, 0051968, 0051260, 0009749;00250, 00630, 00330, 01100, 00910, 04727, 01230, 04724;;;;1q31;1
SHBG;HS052292;0.0591;26822;20;0;7796;5;226;6462;0005576, 0005497, 0042803, 0009914, 0007285;;;;;17p13.1;17
