Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
CD4;HS056176;0.3678;110110;17;0;52036;8;57;920;0005769, 0005788, 0005789, 0009897, 0016021, 0045121, 0042101, 0015026, 0005201, 0042289, 0042803, 0004888, 0008270, 0007155, 0001816, 0050829, 0030260, 0006948, 0045087, 0032507, 0050850, 0045086, 0050731, 0045860, 0045234, 0050690, 0031295, 0050852, 0045058, 0007169;04640, 04514, 05340, 04660, 04612;;;;12p13.31;12
ADA;HS039409;0.3497;25078;10;0;8294;5;57;100;0030054, 0060205, 0005829, 0032839, 0009897, 0005615, 0005764, 0043025, 0004000, 0001883, 0008270, 0006154, 0007568, 0007155, 0046061, 0006157, 0048566, 0002314, 0001821, 0043103, 0046103, 0001889, 0048286, 0060169, 0042323, 0050728, 0002686, 0002906, 0070256, 0060407, 0070244, 0048541, 0001890, 0046638, 0030890, 0050850, 0002636, 0010460, 0045987, 0033089, 0050862, 0032261, 0009168, 0033632, 0042542, 0001666, 0043278, 0042110, 0001829, 0046111;00230, 01100, 05340;;;;20q13.12;20
CARD8;HS043595;0.2603;2954;5;0;1909;3;57;22900;0005737, 0072559, 0005634, 0008656, 0042803, 0043124, 0050718;04621;;;;19q13.33;19
CRP;HS041617;0.1822;175686;16;0;56012;5;57;1401;0005576, 0005615, 0030175, 0030426, 0005739, 0005886, 0015485, 0033265, 0030169, 0046872, 0006953, 0007568, 0071277, 0071333, 0006958, 0050830, 0010888, 0010745, 0008228, 1900006, 0051258, 0045471, 0001666, 0010288, 0042060;;;;;1q23.2;1
No mapping: HS041183;HS041183;0.1686;8;1;0;6;1;57;;;;;;;null;null
FILIP1;HS045142;0.1381;66;3;0;34;1;57;27145;;;;;;6q14.1;6
F5;HS043202;0.1314;11801;4;0;4232;2;57;2153;0005576, 0005615, 0005886, 0031093, 0005507, 0008015, 0007155, 0030168, 0002576;04610;;;;1q23;1
PML;HS049456;0.1285;16811;3;0;4590;2;57;5371;0005737, 0005829, 0031901, 0042406, 0016363, 0031965, 0005730, 0005634, 0016605, 0050897, 0003677, 0046982, 0003713, 0008270, 0006919, 0006915, 0060444, 0007050, 0045165, 0071353, 0090398, 0007182, 0051607, 0006977, 0032469, 0060333, 0008630, 0042771, 0051457, 0019048, 0030099, 0016525, 0030308, 0008285, 0045930, 2000059, 0051974, 0032211, 0045892, 0032938, 0030578, 0060058, 0002230, 2001238, 0031065, 0043161, 0006461, 0050821, 0006605, 0010522, 2000779, 0045343, 0001932, 0010332, 0001666, 0009411, 0048384, 0007184, 0006351, 0007179;05168, 05200, 04144, 04120, 05221, 05164, 05202;;;;15q22;15
KYNU;HS055754;0.1033;555;1;0;248;1;57;8942;0005829, 0005739, 0005634, 0030429, 0042803, 0030170, 0043420, 0097053, 0009435, 0019805, 0034341, 0034516, 0006569, 0019442, 0019441;00380, 01100;;;;2q22.2;2
RBM5;HS039568;0.1021;733;2;0;265;1;57;10181;0005654, 0005681, 0003677, 0003729, 0000166, 0008270, 0006915, 0008285, 0043065, 0000381, 0000245;;;;;3p21.3;3
TIRAP;HS040579;0.1008;918;1;0;285;1;57;114609;0005829, 0030139, 0032587, 0005546, 0030674, 0046982, 0042803, 0070935, 0007166, 0071221, 0071223, 0050830, 0007249, 0006954, 0045087, 0002755, 0030099, 0044130, 0030890, 2000340, 2000343, 0070374, 0043123, 0032735, 0032738, 0045410, 0032757, 0046330, 0090023, 0051092, 0090073, 0034137, 0034141, 0034145, 0032760, 0032648, 0032496, 0035665, 0034134, 0038123, 0038124;04620, 05133, 05152, 05161, 04064;;;;11q24.2;11
CCL13;HS051942;0.0996;776;1;0;306;1;57;6357;0005615, 0008009, 0007267, 0006874, 0007010, 0048245, 0006955, 0006954, 0008360, 0007165;04064, 04062, 04060;;;;17q11.2;17
PDXK;HS085409;0.0936;1098;1;0;430;1;57;8566;0005829, 0005634, 0005524, 0031403, 0000287, 0030955, 0042803, 0008478, 0030170, 0031402, 0008270, 0008283, 0009443, 0042823, 0042816;00750, 01100;;;;21q22.3;21
HGS;HS056085;0.0908;1565;3;0;504;1;57;9146;0005829, 0005769, 0031901, 0032585, 0030141, 0046872, 0016197, 0008333, 0007173, 0006886, 0008285, 0042059, 0046426, 0042176;04144, 04145;;;;17q25;17
CD52;HS039771;0.0905;1121;1;0;513;1;57;1043;0031225, 0005887, 0007204, 0045730;;;;;1p36;1
LTA4H;HS047780;0.0861;1973;1;0;662;1;57;4048;0005829, 0005634, 0004177, 0004301, 0004463, 0008237, 0008270, 0019369, 0006954, 0019370, 0043171, 0006508;00590, 01100;;;;12q22;12
AKT1S1;HS039233;0.0858;1090;1;0;671;1;57;84335;0005829, 0007173, 0038095, 0008543, 0045087, 0045792, 0006469, 0032007, 0048011, 0048015, 0043523;04150;;;;19q13.33;19
TUBE1;HS048873;0.0857;943;2;0;674;1;57;51175;0005874, 0000242, 0005525, 0003924, 0005200, 0007098, 0051258;;;;;6q21;6
ACVRL1;HS056441;0.0830;3438;1;0;790;1;57;94;0009986, 0030425, 0005887, 0043025, 0048185, 0016361, 0005524, 0046872, 0004702, 0046332, 0005025, 0005024, 0060840, 0002043, 0001955, 0001974, 0030509, 0071773, 0061154, 0001701, 0001946, 0060836, 0043537, 0030308, 0008285, 2000279, 0045602, 0001937, 0051895, 0030513, 0032332, 0045603, 0001938, 0010862, 0045944, 0051291, 0008217, 0006275, 0001936, 0061298, 0007179, 0060841, 0035313;;;;;12q13.13;12
HSP90B2P;HS053127;0.0796;1906;1;0;955;1;57;7190;0005524, 0006457, 0006950;;;;;15q26.3;15
CFD;HS042579;0.0752;2408;1;0;1232;1;57;1675;0005576, 0005615, 0031093, 0004252, 0006957, 0030168, 0002576, 0006508;05150, 04610;;;;19p13.3;19
SORD;HS052690;0.0724;2552;2;0;1445;1;57;6652;0005615, 0016020, 0031966, 0031514, 0030246, 0003939, 0051287, 0008270, 0046370, 0006006, 0051160, 0006062, 0030317;01100, 00051;;;;15q15.3;15
SPN;HS052722;0.0704;4434;1;0;1614;1;57;101929889, 6693;0005604, 0009986, 0009897, 0005615, 0005887, 0001931, 0004888, 0097190, 0007596, 0007166, 0006968, 0006935, 0042742, 0007163, 0006955, 0050900, 0007162, 0042130, 0001808, 0045060, 0042102, 0042535, 0050688, 0001562;05169, 04514;;;;16p11.2;16
