Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
No mapping: HS054205;HS054205;1.6447;187;25;0;44;4;24;;;;;;;null;null
NIPA1;HS040984;0.3250;237;1;0;87;1;24;123606;0005769, 0016021, 0005886, 0015095, 0008219;;;;;15q11.2;15
PRL;HS050699;0.3237;168797;14;0;47786;3;24;5617;0005576, 0030141, 0005148, 0008283, 0007623, 0007565, 0060397, 0007595, 0033555, 0042698, 0007567, 0050679, 0046427, 0040014, 0030278, 0042493, 0032355, 0045471, 0032496, 0007584, 0007262;04060, 04917, 04080, 04630, 04151;;;;6p22.3;6
ATL1;HS038601;0.3092;434;6;0;127;1;24;51062;0030424, 0005789, 0000137, 0000139, 0016021, 0005525, 0003924, 0042802, 0007409, 0008219, 0007029, 0051260;;;;;14q22.1;14
SPAST;HS052717;0.2629;1707;4;0;386;1;24;6683;0005813, 0031410, 0005783, 0005768, 0016021, 0005874, 0030496, 0005634, 0048471, 0005819, 0005524, 0008017, 0008568, 0007409, 0008219, 0007109, 0006888, 0001578, 0051013, 0031117, 0034214, 0051260;;;;;2p24-p21;2
LYPD4;HS041935;0.2317;1976;4;0;816;1;24;147719;0031225, 0005886;;;;;19q13.2;19
HMBS;HS046223;0.2089;3776;1;0;1412;1;24;3145;0005829, 0004418, 0006783, 0018160, 0006782, 0044281;00860, 01100;;;;11q23.3;11
L1CAM;HS047412;0.2015;3196;1;0;1684;1;24;3897;0009897, 0016021, 0005886, 0042734, 0043195, 0033691, 0007411, 0007596, 0007155, 0008219, 0007166, 0033631, 0007157, 0007156, 0034109, 0007159, 0050900, 0050850, 0022409;04514, 04360;;;;Xq28;X
CACNA1A;HS053532;0.1897;6210;1;0;2235;1;24;773;0042995, 0005737, 0030425, 0016021, 0043025, 0005634, 0005886, 0005891, 0008331, 0046872, 0019905, 0005245, 0007628, 0048266, 0017156, 0048791, 0008219, 0016049, 0030644, 0021679, 0021702, 0021590, 0048813, 0007204, 0006112, 0014051, 0007214, 0006006, 0042445, 0051899, 0050883, 0032353, 0043524, 0050885, 0007274, 0042133, 0043113, 0014056, 0050770, 0017158, 0050796, 0060024, 0044281, 0021522, 0000096, 0007416, 0007268, 0035249, 0021750;04010, 04020, 04723, 04727, 04730, 04725, 04742, 04728, 04721, 04726, 04930, 05032, 05033, 04724;;;;19p13;19
CNR2;HS041143;0.1749;9750;1;0;3193;1;24;1269;0030425, 0031234, 0005887, 0043204, 0004949, 0007610, 0007187, 0006955, 0006954, 0045759, 0050728, 0033004, 0051001, 0032229, 0001975, 0032496, 0019233;04080;;;;1p36.11;1
PSEN1;HS050784;0.1646;15259;6;0;4087;1;24;5663;0016324, 0030424, 0005938, 0009986, 0005813, 0035253, 0031410, 0043198, 0005789, 0070765, 0005794, 0000139, 0030426, 0005887, 0000776, 0005765, 0045121, 0005743, 0031594, 0043025, 0005640, 0048471, 0005791, 0005790, 0030018, 0004190, 0045296, 0005262, 0004175, 0000186, 0042987, 0042640, 0000045, 0034205, 0050435, 0001568, 0048854, 0021870, 0001708, 0016337, 0021795, 0015871, 0021904, 0030326, 0050673, 0001947, 0002244, 0035556, 0015813, 0006509, 0007613, 0006839, 0002573, 0043066, 0050771, 0007175, 0043524, 2000059, 0000122, 0051444, 0051402, 0048666, 0001764, 0007220, 0007219, 0043065, 0043085, 0050820, 0043406, 0032436, 0001921, 0009791, 0006486, 0016485, 0015031, 0042325, 0043393, 0060075, 0048167, 0051966, 0006974, 0006979, 0048705, 0043589, 0051563, 0001756, 0016080, 0002286, 0050852, 0048538;04722, 04330, 05010, 04310;;;;14q24.3;14
CST3;HS041902;0.1601;19646;3;0;4553;1;24;1471;0005615, 0001540, 0004869, 0006952, 0043206, 0060313, 0010711, 0060311, 0010716, 0010703;04970;;;;20p11.21;20
GJA1;HS045047;0.1439;31433;13;0;6711;1;24;2697;0016324, 0005922, 0043292, 0005829, 0005769, 0005789, 0005916, 0030660, 0005887, 0014704, 0005882, 0016328, 0005764, 0045121, 0005741, 0005771, 0005243, 0015075, 0004871, 0007512, 0006915, 0015867, 0003294, 0048514, 0010643, 0010644, 0002070, 0016264, 0007507, 0001947, 0001701, 0002088, 0060174, 0060156, 0006936, 0008285, 0010629, 0001764, 0048812, 0001649, 0010628, 0043123, 0045732, 0045844, 0051259, 0086014, 0060371, 0030500, 0046850, 0051924, 2000810, 0060373, 0060307, 0043434, 0009268, 0043403, 0010232;04540, 05412;;;;6q22.31;6
CNR1;HS041138;0.1379;25731;2;0;7763;1;24;1268;0005887, 0004949, 0008144, 0007188, 0007568, 0007610, 0060135, 0007613, 0045759, 0045776, 0033602, 0031999, 0033004, 0051001, 0002866, 0043065, 0045777, 0031622, 0010976, 0060259, 0050796, 0060405, 0032228, 0051966, 0042220, 0045471, 0032496, 0043278, 0035094, 0007584, 0006950, 0019233, 0007283;04723, 04080, 04015;;;;6q14-q15;6
ACE;HS038018;0.1070;56991;1;0;16280;1;24;1636;0005768, 0009897, 0005615, 0016021, 0005886, 0003779, 0004180, 0031404, 0008144, 0004175, 0008237, 0008241, 0008270, 0002005, 0002003, 0050482, 0001974, 0044267, 0060218, 0042447, 0001822, 0032943, 0043171, 0006508, 0002019, 0014910, 0019229, 0042312;05142, 04614, 05410;;;;17q23.3;17
F3;HS043201;0.0994;25476;1;0;19537;1;24;2152;0031012, 0005615, 0016021, 0031233, 0005543, 0002543, 0006919, 0002541, 0007598, 0045766, 0030335, 0001938, 0010641, 0050927, 0051897;04610;;;;1p22-p21;1
OXT;HS048604;0.0923;66628;2;0;23149;1;24;5020;0005576, 0005615, 0030141, 0043195, 0042756, 0042755, 0007204, 0007565, 0007625, 0007507, 0042538, 0060179, 0002125, 0042711, 0007613, 0045776, 0060455, 0035811, 0045777, 0045925, 0060450, 0010701, 0045778, 0060406, 0032308, 0035815, 0051965, 0050806, 0070474, 0002027, 0051930, 0014823, 0001975, 0051591, 0042220, 0051602, 0032355, 0045472, 0051384, 0043434, 0032570, 0034695, 0032526, 0009744, 0007165, 0030431, 0035176, 0042713;04080;;;;20p13;20
ACHE;HS048007;0.0871;78123;2;0;26225;1;24;43;0031225, 0030424, 0005605, 0030054, 0009986, 0030425, 0005788, 0005615, 0005794, 0031594, 0005634, 0048471, 0045211, 0042734, 0042166, 0003990, 0001540, 0004091, 0005518, 0043236, 0042803, 0017171, 0001507, 0042982, 0007155, 0008283, 0019695, 0006260, 0007517, 0032223, 0042136, 0045212, 0002076, 0006656, 0050714, 0051262, 0031623, 0050770, 0048814, 0001919, 0009611, 0060041, 0007416;00564, 04725;;;;7q22;7
